역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자,제공기관코드,제공기관명
3115,경인교대입구,S2801,인천지하철 1호선,Gyeongin Nat'''''''''''''''''''''''''''''''''''''',京仁敎大入口,일반역,-,-,37.538272,126.722603,인천교통공사,인천광역시 계양구 계양대로 162,032-553-3394,2020-11-30,B551894,인천교통공사
3116,작전,S2801,인천지하철 1호선,Jakjeon,鵲田,일반역,-,-,37.530271,126.722548,인천교통공사,인천광역시 계양구 게양대로 73,032-543-3116,2020-11-30,B551894,인천교통공사
3117,갈산,S2801,인천지하철 1호선,Galsan,葛山,일반역,-,-,37.517124,126.721566,인천교통공사,인천광역시 부평구 부평대로 286,032-511-4245,2020-11-30,B551894,인천교통공사
3118,부평구청,S2801,인천지하철 1호선,Bupyeong-gu Office,富平區廳,환승역,I2801+S1107,7호선,37.508768,126.720547,인천교통공사,인천광역시 부평구 부평대로 189,032-513-9103,2020-11-30,B551894,인천교통공사
3119,부평시장,S2801,인천지하철 1호선,Bupyeong Market,富平市場,일반역,-,-,37.498495,126.722282,인천교통공사,인천광역시 부평구 부평대로 69,032-512-3119,2020-11-30,B551894,인천교통공사
3120,부평,S2801,인천지하철 1호선,Bupyeong,富平,환승역,I2801+I1101,1호선,37.490541,126.723437,인천교통공사,인천광역시 부평구 광장로 15,032-515-9103,2020-11-30,B551894,인천교통공사
3121,동수,S2801,인천지하철 1호선,Dongsu,東樹,일반역,-,-,37.485409,126.718464,인천교통공사,인천광역시 부평구 경인로 877,032-516-3121,2020-11-30,B551894,인천교통공사
201,장산역,S2602,부산도시철도 2호선,Jangsan,山,일반역,,,35.169914,129.176986,부산교통공사,부산광역시 해운대구 해운대로 지하 820,051-678-6201,2020-06-05,5380000,경상남도 양산시
0205,동대문역사문화공원,S1102,서울 도시철도 2호선,Dongdaemun History & Culture Park,東大門歷史文化公園,환승역,S1104+S1105,서울 도시철도 4호선+서울 도시철도 5호선,37.56500251,127.007394,서울교통공사,서울특별시 중구 을지로 지하 279 (을지로7가),02-6110-2051,2021-04-09,B553766,서울교통공사
0206,신당,S1102,서울 도시철도 2호선,Sindang,新堂,환승역,S1106,서울 도시철도 6호선,37.56582912,127.0181023,서울교통공사,서울특별시 중구 퇴계로 지하 431-1 (신당동),02-6110-2061,2021-04-09,B553766,서울교통공사
0207,상왕십리,S1102,서울 도시철도 2호선,Sangwangsimni,上往十里,일반역,,,37.56417104,127.0293524,서울교통공사,서울특별시 성동구 왕십리로 지하 374 (하왕십리동),02-6110-2071,2021-04-09,B553766,서울교통공사
0208,왕십리,S1102,서울 도시철도 2호선,Wangsimni,往十里,환승역,S1105+I4105+I4107,서울 도시철도 5호선+분당선+경의중앙선,37.56152516,127.0375076,서울교통공사,서울특별시 성동구 왕십리로 지하300(행당동),02-6110-2081,2021-04-09,B553766,서울교통공사
0209,한양대,S1102,서울 도시철도 2호선,Hanyang Univ.,漢陽大,일반역,,,37.55522179,127.0434917,서울교통공사,서울특별시 성동구 왕십리로 206 (행당동),02-6110-2091,2021-04-09,B553766,서울교통공사
0210,뚝섬,S1102,서울 도시철도 2호선,Ttukseom,纛島,일반역,,,37.54712239,127.0473648,서울교통공사,서울특별시 성동구 아차산로 18 (성수동1가),02-6110-2101,2021-04-09,B553766,서울교통공사
0211,성수,S1102,서울 도시철도 2호선,Seongsu,聖水,일반역,,,37.5444338,127.0559893,서울교통공사,서울특별시 성동구 아차산로 100 (성수동2가),02-6110-2111,2021-04-09,B553766,서울교통공사
0212,건대입구,S1102,서울 도시철도 2호선,Konkuk Univ.,建大入口,환승역,S1107,서울 도시철도 7호선,37.54060889,127.0700628,서울교통공사,서울특별시 광진구 아차산로 243 (화양동),02-6110-2121,2021-04-09,B553766,서울교통공사
0213,구의,S1102,서울 도시철도 2호선,Guui,九宜,일반역,,,37.53691864,127.0857297,서울교통공사,서울특별시 광진구 아차산로 384-1 (구의동),02-6110-2131,2021-04-09,B553766,서울교통공사
0214,강변,S1102,서울 도시철도 2호선,Gangbyeon,江邊,일반역,,,37.53487706,127.0946944,서울교통공사,서울특별시 광진구 강변역로 53 (구의동),02-6110-2141,2021-04-09,B553766,서울교통공사
0215,잠실나루,S1102,서울 도시철도 2호선,Jamsillaru,蠶室渡口,일반역,,,37.52054808,127.1036977,서울교통공사,서울특별시 송파구 오금로 20 (신천동),02-6110-2151,2021-04-09,B553766,서울교통공사
0216,잠실,S1102,서울 도시철도 2호선,Jamsil,蠶室,환승역,S1108,서울 도시철도 8호선,37.51376934,127.1021882,서울교통공사,서울특별시 송파구 올림픽로 지하 265 (잠실동),02-6110-2161,2021-04-09,B553766,서울교통공사
414,안평역,S2604,부산도시철도 4호선,Anpyeong,安平,일반역,,,35.237363,129.171823,부산교통공사,부산광역시 기장군 철마면 반송로 1101,051-678-6414,2019-05-20,B551542,부산교통공사
413,고촌역,S2604,부산도시철도 4호선,Gochon,古村,일반역,,,35.236031,129.160443699,부산교통공사,부산광역시 기장군 철마면 반송로 991,051-678-6413,2019-05-20,B551542,부산교통공사
412,동부산대학역,S2604,부산도시철도 4호선,Dong-Pusan College,東釜山大學,일반역,,,35.232506,129.154024,부산교통공사,부산광역시 해운대구 반송로 917,051-678-6412,2019-05-20,B551542,부산교통공사
411,영산대역,S2604,부산도시철도 4호선,Youngsan Univ.,靈山大,일반역,,,35.225777,129.146149,부산교통공사,부산광역시 해운대구 반송로 803,051-678-6411,2019-05-20,B551542,부산교통공사
410,석대역,S2604,부산도시철도 4호선,Seokdae,石坮,일반역,,,35.218111615,129.137179,부산교통공사,부산광역시 해운대구 석대천로 121,051-678-6410,2019-05-20,B551542,부산교통공사
409,반여농산물시장역,S2604,부산도시철도 4호선,Banyeo Agricultural Market,盤如農産物市場,일반역,,,35.217779,129.124061,부산교통공사,부산광역시 해운대구 반송로 550,051-678-6409,2019-05-20,B551542,부산교통공사
408,금사역,S2604,부산도시철도 4호선,Geumsa,錦絲,일반역,,,35.215829,129.115153,부산교통공사,부산광역시 금정구 반송로 지하 465,051-678-6408,2019-05-20,B551542,부산교통공사
407,서동역,S2604,부산도시철도 4호선,Seo-dong,書洞,일반역,,,35.213333,129.107683,부산교통공사,부산광역시 금정구 반송로 지하 387,051-678-6407,2019-05-20,B551542,부산교통공사
406,명장역,S2604,부산도시철도 4호선,Myeongjang,鳴藏,일반역,,,35.205143,129.101517,부산교통공사,부산광역시 동래구 반송로 지하 281,051-678-6406,2019-05-20,B551542,부산교통공사
405,충렬사역,S2604,부산도시철도 4호선,Chungnyeolsa,忠烈祠,일반역,,,35.199859,129.097636,부산교통공사,부산광역시 동래구 반송로 지하 205,051-678-6405,2019-05-20,B551542,부산교통공사
404,낙민역,S2604,부산도시철도 4호선,Nangmin,樂民,일반역,,,35.200254,129.090774,부산교통공사,부산광역시 동래구 충렬대로 지하 285,051-678-6404,2019-05-20,B551542,부산교통공사
403,수안역,S2604,부산도시철도 4호선,Suan,壽安,일반역,,,35.201828,129.083806,부산교통공사,부산광역시 동래구 충렬대로 지하 223,051-678-6403,2019-05-20,B551542,부산교통공사
402,동래역(4호선),S2604,부산도시철도 4호선,Dongnae,東萊,환승역,S2604+S2601,부산도시철도 4호선+부산도시철도 1호선,35.204834,129.077082,부산교통공사,부산광역시 동래구 충렬대로 지하 147,051-678-6402,2019-05-20,B551542,부산교통공사
401,미남역(4호선),S2604,부산도시철도 4호선,Minam,美南,환승역,S2604+S2603,부산도시철도 4호선+부산도시철도 3호선,35.207116,129.069172,부산교통공사,부산광역시 동래구 아시아드대로 지하 232,051-678-6401,2019-05-20,B551542,부산교통공사
317,대저역,S2603,부산도시철도 3호선,Daejeo,大渚,일반역,,,35.213386,128.961048803,부산교통공사,부산광역시 강서구 낙동북로 295,051-678-6317,2019-05-20,B551542,부산교통공사
316,체육공원역,S2603,부산도시철도 3호선,Sports Park,體育公園,일반역,,,35.212577,128.9696515,부산교통공사,부산광역시 강서구 낙동북로 371,051-678-6316,2019-05-20,B551542,부산교통공사
315,강서구청역,S2603,부산도시철도 3호선,Gangseo-gu Office,江西區廳,일반역,,,35.211247,128.981756,부산교통공사,부산광역시 강서구 낙동북로 485,051-678-6315,2019-05-20,B551542,부산교통공사
314,구포역,S2603,부산도시철도 3호선,Gupo,龜浦,일반역,,,35.206697,128.996366,부산교통공사,부산광역시 북구 낙동대로 1697,051-678-6314,2019-05-20,B551542,부산교통공사
313,덕천역(3호선),S2603,부산도시철도 3호선,Deokcheon,德川,환승역,S2603+S2602,부산도시철도 3호선+부산도시철도 2호선,35.210215,129.005671,부산교통공사,부산광역시 북구 금곡대로 지하 14,051-678-6313,2019-05-20,B551542,부산교통공사
312,숙등역,S2603,부산도시철도 3호선,Sukdeung,淑嶝,일반역,,,35.211970,129.012749,부산교통공사,부산광역시 북구 만덕대로 지하 79,051-678-6312,2019-05-20,B551542,부산교통공사
311,남산정역,S2603,부산도시철도 3호선,Namsanjeong,南山亭,일반역,,,35.213340,129.023928,부산교통공사,부산광역시 북구 만덕대로 지하 179,051-678-6311,2019-05-20,B551542,부산교통공사
310,만덕역,S2603,부산도시철도 3호선,Mandeok,萬德,일반역,,,35.213000,129.036527,부산교통공사,부산광역시 북구 만덕대로 지하 291,051-678-6310,2019-05-20,B551542,부산교통공사
309,미남역(3호선),S2603,부산도시철도 3호선,Minam,美南,환승역,S2603+S2604,부산도시철도 3호선+부산도시철도 4호선,35.205503,129.068061,부산교통공사,부산광역시 동래구 아시아드대로 지하 232,051-678-6309,2019-05-20,B551542,부산교통공사
308,사직역,S2603,부산도시철도 3호선,Sajik,社稷,일반역,,,35.198998,129.064996,부산교통공사,부산광역시 동래구 아시아드대로 지하 153,051-678-6308,2019-05-20,B551542,부산교통공사
307,종합운동장역,S2603,부산도시철도 3호선,Sports Complex,綜合運動場,일반역,,,35.191250,129.067504,부산교통공사,부산광역시 연제구 아시아드대로 지하 73,051-678-6307,2019-05-20,B551542,부산교통공사
306,거제역,S2603,부산도시철도 3호선,Geoje,巨堤,일반역,,,35.188589,129.073941,부산교통공사,부산광역시 연제구 월드컵대로 지하 209,051-678-6306,2019-05-20,B551542,부산교통공사
305,연산역(3호선),S2603,부산도시철도 3호선,Yeonsan,蓮山,환승역,S2603+S2601,부산도시철도 3호선+부산도시철도 1호선,35.186173,129.081526,부산교통공사,부산광역시 연제구 중앙대로 지하 1101,051-678-6305,2019-05-20,B551542,부산교통공사
304,물만골역,S2603,부산도시철도 3호선,Mulmangol,水滿谷,일반역,,,35.176808,129.085748,부산교통공사,부산광역시 연제구 월드컵대로 지하 23,051-678-6304,2019-05-20,B551542,부산교통공사
303,배산역,S2603,부산도시철도 3호선,Baesan,盃山,일반역,,,35.173504,129.095498,부산교통공사,부산광역시 연제구 연수로 지하 229,051-678-6303,2019-05-20,B551542,부산교통공사
302,망미역,S2603,부산도시철도 3호선,Mangmi,望美,일반역,,,35.171528,129.108225,부산교통공사,부산광역시 수영구 연수로 지하 337,051-678-6302,2019-05-20,B551542,부산교통공사
301,수영역(3호선),S2603,부산도시철도 3호선,Suyeong,水營,환승역,S2603+S2602,부산도시철도 3호선+부산도시철도 2호선,35.167753,129.114590,부산교통공사,부산광역시 수영구 수영로 지하 677,051-678-6301,2019-05-20,B551542,부산교통공사
243,양산역,S4802,부산도시철도 2호선,Yangsan,梁山,일반역,,,35.3387277341,129.026391,부산교통공사,경상남도 양산시 강변로 441,051-678-6243,2019-05-20,B551542,부산교통공사
242,남양산역,S4802,부산도시철도 2호선,Namyangsan,南梁山,일반역,,,35.325359,129.019457,부산교통공사,경상남도 양산시 동면 메기로 380,051-678-6242,2019-05-20,B551542,부산교통공사
241,부산대양산캠퍼스역,S4802,부산도시철도 2호선,Pusan Nat''''''''l Univ. Yangsan Campus,釜山大梁山Campus,일반역,,,35.316955,129.013940831,부산교통공사,경상남도 양산시 물금읍 메기로 270,051-678-6241,2019-05-20,B551542,부산교통공사
240,증산역,S4802,부산도시철도 2호선,Jeungsan,甑山,일반역,,,35.308302,129.010246,부산교통공사,경상남도 양산시 물금읍 메기로 168,051-678-6240,2019-05-20,B551542,부산교통공사
239,호포역,S4802,부산도시철도 2호선,Hopo,湖浦,일반역,,,35.280406,129.017097,부산교통공사,경상남도 양산시 동면 양산대로 62,051-678-6239,2019-05-20,B551542,부산교통공사
238,금곡역,S2602,부산도시철도 2호선,Geumgok,金谷,일반역,,,35.267248,129.016905425,부산교통공사,부산광역시 북구 금곡대로 685,051-678-6238,2019-05-20,B551542,부산교통공사
237,동원역,S2602,부산도시철도 2호선,Dongwon,東院,일반역,,,35.258656,129.012392,부산교통공사,부산광역시 북구 금곡대로 575,051-678-6237,2019-05-20,B551542,부산교통공사
236,율리역,S2602,부산도시철도 2호선,Yulli,栗里,일반역,,,35.246714,129.012918,부산교통공사,부산광역시 북구 금곡대로 지하 440,051-678-6236,2019-05-20,B551542,부산교통공사
235,화명역,S2602,부산도시철도 2호선,Hwamyeong,華明,일반역,,,35.236278,129.013918,부산교통공사,부산광역시 북구 금곡대로 지하 311,051-678-6235,2019-05-20,B551542,부산교통공사
234,수정역,S2602,부산도시철도 2호선,Sujeong,水亭,일반역,,,35.223356,129.009198,부산교통공사,부산광역시 북구 금곡대로 지하 160,051-678-6234,2019-05-20,B551542,부산교통공사
233,덕천역(2호선),S2602,부산도시철도 2호선,Deokcheon,德川,환승역,S2602+S2603,부산도시철도 2호선+부산도시철도 3호선,35.210219,129.005673,부산교통공사,부산광역시 북구 금곡대로 지하 14,051-678-6233,2019-05-20,B551542,부산교통공사
232,구명역,S2602,부산도시철도 2호선,Gumyeong,龜明,일반역,,,35.202520,128.999322,부산교통공사,부산광역시 북구 백양대로 지하 1094,051-678-6232,2019-05-20,B551542,부산교통공사
231,구남역,S2602,부산도시철도 2호선,Gunam,龜南,일반역,,,35.196804,128.994928,부산교통공사,부산광역시 북구 백양대로 지하 1026,051-678-6231,2019-05-20,B551542,부산교통공사
230,모라역,S2602,부산도시철도 2호선,Mora,毛羅,일반역,,,35.189663,128.988655,부산교통공사,부산광역시 사상구 사상로 지하 498,051-678-6230,2019-05-20,B551542,부산교통공사
229,모덕역,S2602,부산도시철도 2호선,Modeok,毛德,일반역,,,35.180366,128.985621,부산교통공사,부산광역시 사상구 사상로 지하 409,051-678-6229,2019-05-20,B551542,부산교통공사
228,덕포역,S2602,부산도시철도 2호선,Deokpo,德浦,일반역,,,35.173754,128.983955,부산교통공사,부산광역시 사상구 사상로 지하 320-1,051-678-6228,2019-05-20,B551542,부산교통공사
227,사상역,S2602,부산도시철도 2호선,Sasang,沙上,환승역,S2602+L4801,부산도시철도 2호선+김해경전철,35.162361,128.984621,부산교통공사,부산광역시 사상구 사상로 지하 203,051-678-6227,2019-05-20,B551542,부산교통공사
226,감전역,S2602,부산도시철도 2호선,Gamjeon,甘田,일반역,,,35.155528,128.991146,부산교통공사,부산광역시 사상구 사상로 지하 93-1,051-678-6226,2019-05-20,B551542,부산교통공사
225,주례역,S2602,부산도시철도 2호선,Jurye,周禮,일반역,,,35.150508,129.003077,부산교통공사,부산광역시 사상구 가야대로 지하 292,051-678-6225,2019-05-20,B551542,부산교통공사
224,냉정역,S2602,부산도시철도 2호선,Naengjeong,冷井,일반역,,,35.151254,129.012255,부산교통공사,부산광역시 사상구 가야대로 지하 362-1,051-678-6224,2019-05-20,B551542,부산교통공사
223,개금역,S2602,부산도시철도 2호선,Gaegeum,開琴,일반역,,,35.153284,129.020533,부산교통공사,부산광역시 부산진구 가야대로 지하 442,051-678-6223,2019-05-20,B551542,부산교통공사
222,동의대역,S2602,부산도시철도 2호선,Dongeui Univ.,東義大,일반역,,,35.153986,129.032750,부산교통공사,부산광역시 부산진구 가야대로 지하 554,051-678-6222,2019-05-20,B551542,부산교통공사
221,가야역,S2602,부산도시철도 2호선,Gaya,伽倻,일반역,,,35.155883,129.042817,부산교통공사,부산광역시 부산진구 가야대로 지하 650,051-678-6221,2019-05-20,B551542,부산교통공사
220,부암역,S2602,부산도시철도 2호선,Buam,釜岩,일반역,,,35.157444,129.050185,부산교통공사,부산광역시 부산진구 가야대로 지하 719,051-678-6220,2019-05-20,B551542,부산교통공사
219,서면역(2호선),S2602,부산도시철도 2호선,Seomyeon,西面,환승역,S2602+S2601,부산도시철도 2호선+부산도시철도 1호선,35.157740,129.059084,부산교통공사,부산광역시 부산진구 중앙대로 지하 730,051-678-6219,2019-05-20,B551542,부산교통공사
218,전포역,S2602,부산도시철도 2호선,Jeonpo,田浦,일반역,,,35.153102,129.065374,부산교통공사,부산광역시 부산진구 전포대로 지하 181,051-678-6218,2019-05-20,B551542,부산교통공사
217,국제금융센터부산은행역,S2602,부산도시철도 2호선,Busan Int''''''''l Finance Center Busan Bank,釜山國際金融中心·釜山銀行,일반역,,,35.145817,129.066755,부산교통공사,부산광역시 남구 전포대로 지하 97,051-678-6217,2019-05-20,B551542,부산교통공사
216,문현역,S2602,부산도시철도 2호선,Munhyeon,門峴,일반역,,,35.139151,129.067399,부산교통공사,부산광역시 남구 전포대로 지하 17,051-678-6216,2019-05-20,B551542,부산교통공사
215,지게골역,S2602,부산도시철도 2호선,Jigegol,支架谷,일반역,,,35.135574,129.074365,부산교통공사,부산광역시 남구 수영로 지하 70,051-678-6215,2019-05-20,B551542,부산교통공사
214,못골역,S2602,부산도시철도 2호선,Motgol,池谷,일반역,,,35.134731,129.084415,부산교통공사,부산광역시 남구 수영로 지하 170,051-678-6214,2019-05-20,B551542,부산교통공사
213,대연역,S2602,부산도시철도 2호선,Daeyeon,大淵,일반역,,,35.135153,129.092161,부산교통공사,부산광역시 남구 수영로 지하 242,051-678-6213,2019-05-20,B551542,부산교통공사
212,경성대부경대역,S2602,부산도시철도 2호선,Kyungsung Univ. Pukyong Nat''''''''l Univ.,慶星大釜慶大,일반역,,,35.137585,129.100548,부산교통공사,부산광역시 남구 수영로 지하 324,051-678-6212,2019-05-20,B551542,부산교통공사
211,남천역,S2602,부산도시철도 2호선,Namcheon,南川,일반역,,,35.142139,129.107978,부산교통공사,부산광역시 수영구 수영로 지하 410,051-678-6211,2019-05-20,B551542,부산교통공사
210,금련산역,S2602,부산도시철도 2호선,Geumnyeonsan,金蓮山,일반역,,,35.149771,129.110961,부산교통공사,부산광역시 수영구 수영로 지하 482,051-678-6210,2019-05-20,B551542,부산교통공사
209,광안역,S2602,부산도시철도 2호선,Gwangan,廣安,일반역,,,35.157916,129.113168,부산교통공사,부산광역시 수영구 수영로 지하 576,051-678-6209,2019-05-20,B551542,부산교통공사
208,수영역,S2602,부산도시철도 2호선,Suyeong,水營,환승역,S2602+S2603,부산도시철도 2호선+부산도시철도 3호선,35.165227,129.114713,부산교통공사,부산광역시 수영구 수영로 지하 677,051-678-6208,2019-05-20,B551542,부산교통공사
207,민락역,S2602,부산도시철도 2호선,Millak,民樂,일반역,,,35.167228,129.121909,부산교통공사,부산광역시 수영구 수영로 지하 769,051-678-6207,2019-05-20,B551542,부산교통공사
206,센텀시티역,S2602,부산도시철도 2호선,Centum City,Centum City,일반역,,,35.168827,129.131745,부산교통공사,부산광역시 해운대구 센텀남대로 지하 76,051-678-6206,2019-05-20,B551542,부산교통공사
205,시립미술관역,S2602,부산도시철도 2호선,Busan Museum of Art,市立美術館,일반역,,,35.168844,129.138933,부산교통공사,부산광역시 해운대구 해운대로 지하 396,051-678-6205,2019-05-20,B551542,부산교통공사
204,동백역,S2602,부산도시철도 2호선,Dongbaek,冬柏,일반역,,,35.161484,129.147897,부산교통공사,부산광역시 해운대구 해운대로 지하 522,051-678-6204,2019-05-20,B551542,부산교통공사
203,해운대역,S2602,부산도시철도 2호선,Haeundae,海雲臺,일반역,,,35.163672,129.158908,부산교통공사,부산광역시 해운대구 해운대로 지하 626,051-678-6203,2019-05-20,B551542,부산교통공사
2020,중동역,S2602,부산도시철도 2호선,Jung-dong,中洞,일반역,,,35.166700,129.168604,부산교통공사,부산광역시 해운대구 해운대로 지하 730,051-678-6202,2019-05-20,B551542,부산교통공사
201,장산역,S2602,부산도시철도 2호선,Jangsan,山,일반역,,,35.169914,129.176986,부산교통공사,부산광역시 해운대구 해운대로 지하 820,051-678-6201,2019-05-20,B551542,부산교통공사
134,노포역,S2601,부산도시철도 1호선,Nopo,老圃,일반역,,,35.2846865668,129.094967,부산교통공사,부산광역시 금정구 중앙대로 2238,051-678-6134,2019-05-20,B551542,부산교통공사
133,범어사역,S2601,부산도시철도 1호선,Beomeosa,梵魚寺,일반역,,,35.273105,129.092679,부산교통공사,부산광역시 금정구 중앙대로 지하 2107,051-678-6133,2019-05-20,B551542,부산교통공사
132,남산역,S2601,부산도시철도 1호선,Namsan,南山,일반역,,,35.265404,129.092496,부산교통공사,부산광역시 금정구 중앙대로 지하 2019-1,051-678-6132,2019-05-20,B551542,부산교통공사
131,두실역,S2601,부산도시철도 1호선,Dusil,斗實,일반역,,,35.256959,129.091386,부산교통공사,부산광역시 금정구 중앙대로 지하 1927-1,051-678-6131,2019-05-20,B551542,부산교통공사
130,구서역,S2601,부산도시철도 1호선,Guseo,久瑞,일반역,,,35.247407,129.091327,부산교통공사,부산광역시 금정구 금정로 233번길 46,051-678-6130,2019-05-20,B551542,부산교통공사
129,장전역,S2601,부산도시철도 1호선,Jangjeon,長箭,일반역,,,35.2380909507,129.088111,부산교통공사,부산광역시 금정구 장전온천천로 144,051-678-6129,2019-05-20,B551542,부산교통공사
128,부산대역,S2601,부산도시철도 1호선,Pusan Nat''''''''l Univ.,釜山大學校,일반역,,,35.229609,129.089358,부산교통공사,부산광역시 금정구 장전온천천로 48,051-678-6128,2019-05-20,B551542,부산교통공사
127,온천장역,S2601,부산도시철도 1호선,Oncheonjang,溫泉場,일반역,,,35.220249,129.086437,부산교통공사,부산광역시 동래구 중앙대로 1520,051-678-6127,2019-05-20,B551542,부산교통공사
126,명륜역,S2601,부산도시철도 1호선,Myeongnyun,明倫,일반역,,,35.212551,129.079659,부산교통공사,부산광역시 동래구 중앙대로 1414,051-678-6126,2019-05-20,B551542,부산교통공사
125,동래역,S2601,부산도시철도 1호선,Dongnae,東萊,일반역,,,35.205641,129.078506,부산교통공사,부산광역시 동래구 중앙대로 1324,051-678-6125,2019-05-20,B551542,부산교통공사
124,교대역,S2601,부산도시철도 1호선,Busan Nat''''''''l Univ. of Edu.,釜山敎育大學校,일반역,,,35.196050,129.080035,부산교통공사,부산광역시 연제구 중앙대로 지하 1217,051-678-6124,2019-05-20,B551542,부산교통공사
123,연산역,S2601,부산도시철도 1호선,Yeonsan,蓮山,환승역,S2601+S2603,부산도시철도 1호선+부산도시철도 3호선,35.186168,129.081534,부산교통공사,부산광역시 연제구 중앙대로 지하 1101,051-678-6123,2019-05-20,B551542,부산교통공사
122,시청역,S2601,부산도시철도 1호선,City Hall,市廳,일반역,,,35.179837,129.076642,부산교통공사,부산광역시 연제구 중앙대로 지하 1017,051-678-6122,2019-05-20,B551542,부산교통공사
121,양정역,S2601,부산도시철도 1호선,Yangjeong,楊亭,일반역,,,35.173122,129.071366,부산교통공사,부산광역시 부산진구 중앙대로 지하 930,051-678-6121,2019-05-20,B551542,부산교통공사
120,부전역,S2601,부산도시철도 1호선,Bujeon,釜田,일반역,,,35.162587,129.062952,부산교통공사,부산광역시 부산진구 중앙대로 지하 786,051-678-6120,2019-05-20,B551542,부산교통공사
119,서면역(1호선),S2601,부산도시철도 1호선,Seomyeon,西 面,환승역,S2601+S2602,부산도시철도 1호선+부산도시철도 2호선,35.158282,129.059556,부산교통공사,부산광역시 부산진구 중앙대로 지하 730,051-678-6119,2019-05-20,B551542,부산교통공사
118,범내골역,S2601,부산도시철도 1호선,Beomnaegol,凡內谷,일반역,,,35.147400,129.059261,부산교통공사,부산광역시 부산진구 중앙대로 지하 612,051-678-6118,2019-05-20,B551542,부산교통공사
117,범일역,S2601,부산도시철도 1호선,Beomil,凡一,일반역,,,35.140952,129.059352,부산교통공사,부산광역시 동구 범일로 지하 108,051-678-6117,2019-05-20,B551542,부산교통공사
116,좌천역,S2601,부산도시철도 1호선,Jwacheon,佐川,일반역,,,35.134361,129.054455,부산교통공사,부산광역시 동구 중앙대로 지하 446,051-678-6116,2019-05-20,B551542,부산교통공사
115,부산진역,S2601,부산도시철도 1호선,Busanjin,釜山鎭,일반역,,,35.127787,129.047894,부산교통공사,부산광역시 동구 중앙대로 지하 350,051-678-6115,2019-05-20,B551542,부산교통공사
