연번,구분,설립형태,유형,시도,시군구,시설명,주소,전화번호,팩스,관계행정기관
26,공공,시도립,병원,경기,남양주시,서울특별시축령정신병원,경기 남양주시 수동면 외방로 172번길 58,031-592-6661~4,031-592-6665,서울특별시
27,공공,시도립,병원,경기,용인시,경기도립정신병원,경기 용인시 기흥구 상하동 4,031-288-0114,031-288-0107,경기도
28,공공,시도립,병원,경기,용인시,서울특별시백암정신병원,경기 용인시 처인구 백암면 용천로 71번길 30,031-332-3194,031-332-3197,서울특별시
29,공공,시도립,병원,경기,용인시,서울특별시용인정신병원,"경기 용인시 기흥구 상하동 7-1,9",031-288-0114,031-288-0107,서울특별시
30,공공,시도립,병원,강원,춘천시,강원도재활병원,강원 춘천시 동면 장학리 791-15,033-248-7700,033-248-7723,강원도
31,공공,시도립,병원,전북,완주군,전라북도마음사랑병원,전북 완주군 소양면 소양로 465-23,063-240-2100,063-240-2117,전라북도
32,공공,시도립,병원,경남,사천시,경상도립정신병원,경남 사천시 축동면 서삼로 1110-35(가산리 447-1),055-854-6000,055-854-7009,경상남도
33,공공,시도립,병원,제주,서귀포시,제주권역재활병원,제주특별자치도 서귀포시 동문로 1,064-730-9000,064-762-0027,보건복지부(제주특별자치도)
34,공공,시도립,치과병원,서울,성동구,서울특별시립장애인치과병원,서울 성동구 마장로 207,02-2282-0001,02-2282-0002,서울특별시
35,공공,시도립,요양병원,부산,북구,부산노인전문제1병원,부산 북구 만덕3동 774-26,051-375-7275,051-375-7582,부산광역시
36,공공,시도립,요양병원,부산,사상구,부산시립정신병원,부산 사상구 학감대로 39번길 104-36,051-312-2288,051-313-3399,부산광역시
37,공공,시도립,요양병원,부산,사하구,부산노인전문제4병원,부산 사하구 동매로 44번길 4(하단동),051-202-1370,051-202-2354,부산광역시
38,공공,시도립,요양병원,부산,연제구,부산노인전문제2병원,부산 연제구 월드컵대로 359,051-607-2075,051-607-2083,부산광역시
39,공공,시도립,요양병원,부산,해운대구,부산노인전문제3병원,부산 해운대구 해운대로 469번 가길 77(우동),051-780-5555,051-743-3576,부산광역시
40,공공,시도립,요양병원,대구,대서구,대구광역시서부노인전문병원,대구 서구 와룡로 298-13번지,053-570-7575,053-570-7640,대구광역시
41,공공,시도립,요양병원,대구,수성구,대구광역시시지노인전문병원,대구 수성구 유니버시아드로 365,053-812-1212,053-812-9600,대구광역시
42,공공,시도립,요양병원,인천,서구,인천광역시립노인치매요양병원,인천 서구 심곡로 132번길 21-1,032-562-5101,032-566-4335,인천광역시
43,공공,시도립,요양병원,광주,광산구,광주시립제1요양병원,광주 광산구 삼도로 84-3(삼거동),062-949-5250,062-944-2526,광주광역시
44,공공,시도립,요양병원,광주,남구,광주시립제2요양병원,광주 남구 덕남길 100,062-612-9800,062-612-9898,광주광역시
45,공공,시도립,요양병원,대전,동구,대전광역시립제2노인전문병원,대전 동구 산내로 300(하소동),042-272-9633,042-272-9633,대전광역시
46,공공,시도립,요양병원,대전,유성구,대전광역시립제1노인전문병원,대전 유성구 유성대로 1422(방현동),042-862-0033,042-862-0033,대전광역시
47,공공,시도립,요양병원,울산,울주군,울산광역시립노인병원,울산 울주군 온양읍 덕남로 243,052-231-7900,052-231-7999,울산광역시
48,공공,시도립,요양병원,경기,남양주시,경기도노인전문남양주병원,경기 남양주시 수동면 외방리 산 43-15,031-590-5000,031-590-5011,경기도
49,공공,시도립,요양병원,경기,동두천시,경기도노인전문동두천병원,경기 동두천시 탑신로 536번지,031-860-4114,031-860-4116,경기도
50,공공,시도립,요양병원,경기,시흥시,경기도노인전문시흥병원,경기 시흥시 광석동 353-9번지,031-500-7100,031-500-7382,경기도
51,공공,시도립,요양병원,경기,여주군,경기도노인전문여주병원,경기 여주군 북내면 신남리 149-5,031-886-4100,031-866-4055,경기도
52,공공,시도립,요양병원,경기,용인시,경기도노인전문용인병원,경기 용인시 기흥구 중부대로 940,031-288-0400,031-288-0405,경기도
53,공공,시도립,요양병원,경기,평택시,경기도노인전문평택병원,경기 평택시 도일동 965-6번지,031-669-9988,031-669-9933,경기도
54,공공,시도립,요양병원,강원,강릉시,강원도립강릉요양병원,강원 강릉시 경강로 2007,033-640-8800,033-640-8825,강원도
55,공공,시도립,요양병원,충북,청주시,충북도립노인전문병원,충북 청주시 흥덕구 청남로 1910번지   (미평동 25번지),043-298-9011,043-298-9015,충청북도
56,공공,시도립,요양병원,충남,서산시,충청남도립서산노인전문병원,충남 서산시 중앙로 149 (석림동),041-689-7000,041-689-7070,충청남도
57,공공,시도립,요양병원,충남,홍성군,충청남도립홍성노인전문병원,충남 홍성군 홍성읍 조양로  224번지,041-630-6593,041-630-6594,충청남도
58,공공,시도립,요양병원,전북,고창군,전라북도고창노인요양병원,전북 고창군 고창읍 고인돌대로 1765,063-560-6100,063-560-7600,전라북도
59,공공,시도립,요양병원,전북,남원시,전라북도남원노인요양병원,전북 남원시 산성길 51-15,063-630-7777,063-630-7700,전라북도
60,공공,시도립,요양병원,경북,경산시,경상북도립경산노인전문요양병원,경북 경산시 경안로 23-10,053-816-3322,053-816-3305,경상북도
61,공공,시도립,요양병원,경북,김천시,경상북도립김천노인전문요양병원,경북 김천시 어모면 신애길 100-10,054-420-7200,054-437-6005,경상북도
62,공공,시도립,요양병원,경북,안동시,경상북도립안동노인전문요양병원,경북 안동시 남후면 남일로 1463,054-851-6000,054-851-6474,경상북도
63,공공,시도립,요양병원,경북,포항시,경상북도포항노인전문요양병원,경북 포항시 북구 용흥로 36,054-247-0551,054-247-0559,경상북도
64,공공,시도립,요양병원,경남,김해시,경상남도립김해노인전문병원,경남 김해시 김해대로1814-39(삼계동),055-330-2000,055-330-2004,경상남도
65,공공,시도립,요양병원,경남,사천시,경남도립사천노인전문병원,경남 사천시 축동면 서삼로 1110-35(가산리),055-794-2900,055-794-1299,경상남도
66,공공,시도립,요양병원,경남,양산시,경상도립양산노인전문병원,경남 양산시 상북면 양산대로 1870-64(신전리 27-9번지) ,055-375-7275,055-375-7582,경상남도
67,공공,시도립,요양병원,경남,통영시,경상남도립통영노인전문병원,경남 통영시 도산면 남해안대로 1818번지(도산면 도선리 211-1),055-640-1900,055-640-1999,경상남도
68,공공,시군구립,요양병원,경기,부천시,부천시립노인전문병원,경기 부천시 오정구 작동 405번지,032-713-7300,032-713-7333,경기도 부천시
69,공공,시군구립,요양병원,경기,안산시,안산시립노인전문병원,경기 안산시 상록구 차돌배기로 24번지 ,031-8040-5114,031-408-5113,경기도 안산시
70,공공,시군구립,요양병원,강원,춘천시,춘천시노인전문병원,강원 춘천시 세실로 252,033-240-7500,033-240-7591,강원도 춘천시
71,공공,시군구립,요양병원,충북,단양군,단양군노인요양전문병원,충북 단양군 단양읍 별곡6길 10,043-423-8844,043-423-8875,충청북도 단양군
72,공공,시군구립,요양병원,충북,영동군,영동군립노인전문병원,충북 영동군 영동읍 대학로 290번지,043-745-1600,043-742-8275,충청북도 영동군
73,공공,시군구립,요양병원,충북,제천시,청풍호노인사랑병원,충북 제천시 금성면 청풍호로 1147,043-646-0808,043-648-5827,충청북도 제천시
74,공공,시군구립,요양병원,충북,충주시,충주시노인전문병원,충북 충주시 동량면 대전리 1686-28,043-855-9393,043-855-8866,충청북도 충주시
75,공공,시군구립,요양병원,충남,논산시,논산시립노인전문병원,충남 논산시 시민로 294번길 11,041-734-9911,041-734-9914,충청남도 논산시
76,공공,시군구립,요양병원,충남,보령시,보령시립노인전문병원,충남 보령시 청라면 장산리 828-8,041-935-1166,041-935-1169,충청남도 보령시
77,공공,시군구립,요양병원,충남,서천군,서천군립노인요양병원,충남 서천군 종천면 충서로 302번지 88-12,041-950-1001,041-953-8070,충청남도 서천군
78,공공,시군구립,요양병원,충남,천안시,천안시립노인전문병원,충남 천안시 동남구 송전리 431번지,041-551-1114,041-521-1239,충청남도 천안시
79,공공,시군구립,요양병원,전북,부안군,부안군노인요양병원,전북 부안군 부안읍 봉두길 68,063-581-9116,063-581-9369,전라북도 부안군
80,공공,시군구립,요양병원,전북,완산구,전주시노인복지병원,전북 완산구 능안자구길 80,063-220-9700,063-221-0223,전라북도 전주시
81,공공,시군구립,요양병원,전북,완주군,완주군아름다운노인전문병원,전북 완주군 상관면 북치길 44-54,063-717-3300,063-717-3304,전라북도 완주군
82,공공,시군구립,요양병원,전북,정읍시,정읍시노인전문병원,전북 정읍시 금붕1길 160-15,063-531-0075,063-531-0076,전라북도 정읍시
83,공공,시군구립,요양병원,전남,고흥군,고흥공립노인전문요양병원,전남 고흥군 고흥읍 고흥로 1941,061-830-4100,061-832-1995,전라남도 고흥군
84,공공,시군구립,요양병원,전남,곡성군,곡성군립노인전문병원,전남 곡성군 겸면 곡순로 1756번지,061-360-9000,061-363-6020,전라남도 곡성군
85,공공,시군구립,요양병원,전남,광양시,광양시공립노인전문요양병원,전남 광양시 마동 892-3번지,061-792-5600,061-792-5604,전라남도 광양시
86,공공,시군구립,요양병원,전남,무안군,공립무안군노인전문요양병원,전남 무안군 무안읍몽탄로 51-12,061-453-7007,061-453-7223,전라남도 무안군
87,공공,시군구립,요양병원,전남,보성군,보성군립노인전문병원,전남 보성군 벌교읍 남하로 4-10,061-859-9000,061-858-5353,전라남도 보성군
88,공공,시군구립,요양병원,전남,신안군,신안군노인전문요양병원,전남 신안군 압해읍 구항길 92-50,061-260-2700,061-260-2704,전라남도 신안군
89,공공,시군구립,요양병원,전남,여수시,여수시노인전문요양병원,전남 여수시 둔덕5길 29(471-100번지),061-653-9119,061-653-8390,전라남도 여수시
90,공공,시군구립,요양병원,전남,영광군,공립영광노인전문요양병원,전남 영광군 영광읍 와룡로 3-1,061-353-5050,061-353-6900,전라남도 영광군
91,공공,시군구립,요양병원,전남,장성군,장성공립노인전문요양병원,전남 장성군 장성읍 강변안길 100 (기산리 489-5),061-395-1170,061-395-1174,전라남도 장성군
92,공공,시군구립,요양병원,전남,진도군,진도군노인전문요양병원,전남 진도군 의신면 운림산방로 31,061-542-5004,061-542-3005,전라남도 진도군
93,공공,시군구립,요양병원,전남,함평군,함평군공립요양병원,전남 함평군 학교면 학교화산길 16-19,061-322-4119,061-322-6119,전라남도 함평군
94,공공,시군구립,요양병원,전남,화순군,화순노인전문병원,전남 화순군 화순읍 서양로 330,061-379-6114,061-379-6010,전라남도 화순군
95,공공,시군구립,요양병원,경북,경주시,경주시립노인전문요양병원,경북 경주시 현곡면 충현로 610-120,054-743-6200,054-743-3663,경상북도 경주시
96,공공,시군구립,요양병원,경북,고령군,고령군립노인복지병원,경북 고령군 고령읍 중앙로 31번지,054-956-8700,054-956-8702,경상북도 고령군
97,공공,시군구립,요양병원,경북,구미시,구미시립노인요양병원,경북 구미시 야은로 37-1,054-440-1000,054-440-1051,경상북도 구미시
98,공공,시군구립,요양병원,경북,문경시,시립문경요양병원,경북 문경시 문경읍 여우목로 31,054-550-7000,054-571-1540,경상북도 문경시
99,공공,시군구립,요양병원,경북,봉화군,봉화군립노인전문요양병원,경북 봉화군 봉화읍 보밑길 9,054-674-0011,054-674-0010,경상북도 봉화군
100,공공,시군구립,요양병원,경북,상주시,상주시립노인전문요양병원,경북 상주시 용마로 190-45(도남동),054-530-5300,054-532-5301,경상북도 상주시
101,공공,시군구립,요양병원,경북,영주시,영주시립노인전문요양병원,경북 영주시 안정면 장안로 697,054-631-1500,054-631-1504,경상북도 영주시
102,공공,시군구립,요양병원,경북,울진군,울진군의료원요양병원,경북 울진군 울진읍 현내항길 71,054-785-7000,054-785-7622,경상북도 울진군
103,공공,시군구립,요양병원,경북,청도군,군립청도노인요양병원,경북 청도군 화양읍 범곡리 101-5,054-370-5450,054-370-5555,경상북도 청도군
104,공공,시군구립,요양병원,경북,칠곡군,칠곡군립노인요양병원,경북 칠곡군 왜관읍 금남5길 58,054-976-7777,054-976-7780,경상북도 칠곡군
105,공공,시군구립,요양병원,경남,거창군,거창군립노인요양병원,경남 거창군 거창읍 운정3길 180번지,055-943-3333,055-943-9818,경상남도 거창군
106,공공,시군구립,요양병원,경남,남해군,남해군립노인전문병원,경남 남해군 남해읍 화전로 173-1,055-864-2201,055-864-0022,경상남도 남해군
107,공공,시군구립,요양병원,경남,의령군,의령군립노인전문병원,경남 의령군 부림면 대한로 1655,055-572-0004,055-573-5119,경상남도 의령군
108,공공,시군구립,요양병원,경남,창원시,시립마산요양병원,경남 창원시 마산합포구 현동로 15,055-221-2700,055-221-2755,경상남도 창원시
109,공공,시군구립,요양병원,경남,창원시,창원시립치매요양병원,경남 창원시 의창구 북면 내곡리 1234-1,055-298-2442,055-298-7476,경상남도 창원시
110,공공,구립,요양병원,서울,강남구,강남구립행복요양병원,서울 강남구 헌릉로 590길 60,02-6053-2114,02-6053-2119,서울특별시
111,공공,특수법인,상급종합병원,서울,종로구,서울대학교병원,서울 종로구 대학로 101,02-2072-2114,02-747-2224,교육부
112,공공,특수법인,상급종합병원,부산,서구,부산대학교병원,부산 서구 구덕로 179,051-240-7000,051-254-0251,교육부
113,공공,특수법인,상급종합병원,대구,중구,경북대학교병원,대구 중구 동덕로 130(삼덕로 2가),053-200-5114,053-422-1273,교육부
114,공공,특수법인,상급종합병원,광주,동구,전남대학교병원,광주 동구 제봉로 42,062-220-5114,062-225-8330,교육부
115,공공,특수법인,상급종합병원,대전,중구,충남대학교병원,대전 중구 문화로 282,1599-7123,042-253-3287,교육부
116,공공,특수법인,상급종합병원,경기,성남시,분당서울대학교병원,경기 성남시 분당구 구미로 173번길 82,1588-3369,031-787-2109,교육부
117,공공,특수법인,상급종합병원,충북,청주시,충북대학교병원,충북 청주시 흥덕구 1순환로 776,043-269-6114,043-269-6509,교육부
118,공공,특수법인,상급종합병원,전북,전주시,전북대학교병원,전북 전주시 덕진구 건지로 20 (금암동 634-18),1577-7877,063-250-1889,교육부
119,공공,특수법인,상급종합병원,전남,화순군,화순전남대학교병원,전남 화순군 화순읍 서양로 322,061-379-7114,061-379-7420,교육부
120,공공,특수법인,상급종합병원,경남,양산시,양산부산대학교병원,경남 양산시 물금읍 금오로 20,055-360-1330,055-360-1338,교육부
121,공공,특수법인,상급종합병원,경남,진주시,경상대학교병원,경남 진주시 강남로 79,055-750-8000,055-750-8800,교육부
122,공공,특수법인,종합병원,서울,강동구,한국보훈복지의료공단중앙보훈병원,서울 강동구 진황도로 61길 53 ,02-2225-1111,02-2225-4364,국가보훈처
123,공공,특수법인,종합병원,서울,노원구,한국원자력의학원원자력병원,서울 노원구 노원로 75,02-970-2114,02-978-2005,미래창조과학부
124,공공,특수법인,종합병원,서울,종로구,서울적십자병원,서울 종로구 새문안로 9,02-2002-8000,02-738-5664,보건복지부
125,공공,특수법인,종합병원,서울,중구,국립중앙의료원,서울 중구 을지로 245,02-2260-7114,02-2267-8685,보건복지부
126,공공,특수법인,종합병원,서울,중랑구,서울의료원,서울 중랑구 신내로 156,02-2276-7000,02-2276-7020,보건복지부(서울특별시)
127,공공,특수법인,종합병원,부산,기장군,동남권원자력의학원,부산 기장군 장안읍 좌동길 40 ,051-720-5114,051-720-5992,미래창조과학부
128,공공,특수법인,종합병원,부산,사상구,한국보훈복지공단부산보훈병원,부산 사상구 백양대로 420,051-601-6000,051-601-6079,국가보훈처
129,공공,특수법인,종합병원,부산,연제구,부산광역시의료원,부산 연제구 월드컵대로 359 ,051-507-3000,051-507-3001,보건복지부(부산광역시)
130,공공,특수법인,종합병원,부산,연제구,부산의료원,부산 연제구 월드컵대로 359,051-507-3000,051-507-3001,보건복지부(부산광역시)
131,공공,특수법인,종합병원,대구,달서구,한국보훈복지의료공단대구보훈병원,대구 달서구 월곡로 60,053-630-7000,053-630-7089,국가보훈처
132,공공,특수법인,종합병원,대구,북구,칠곡경북대학교병원,대구 북구 호국로 807,053-200-2114,053-200-2039,교육부
133,공공,특수법인,종합병원,대구,서구,대구의료원,대구 서구 평리로 157,053-560-7575,053-556-4465,보건복지부(대구광역시)
134,공공,특수법인,종합병원,인천,동구,인천광역시의료원,인천 동구 방축로 157 ,032-580-6000,032-583-7683,보건복지부(인천광역시)
135,공공,특수법인,종합병원,인천,부평구,근로복지공단인천병원,인천 부평구 무네미로 446(구산동),032-500-0114,032-512-9932,고용노동부
136,공공,특수법인,종합병원,인천,연수구,인천적십자병원,인천 연수구 원인재로 263,032-899-4000,032-899-4240,보건복지부
137,공공,특수법인,종합병원,광주,광산구,한국보훈복지의료공단광주보훈병원,광주 광산구 첨단월봉로 99,062-602-6114,062-602-6980,국가보훈처
138,공공,특수법인,종합병원,대전,대덕구,근로복지공단대전병원,대전 대덕구 계족로 637(법동),042-670-5114,042-631-8250,고용노동부
139,공공,특수법인,종합병원,대전,대덕구,한국보훈복지의료공단대전보훈병원,대전 대덕구 대청로 82번길 147,042-939-0114,042-934-4401,국가보훈처
140,공공,특수법인,종합병원,경기,고양시,국립암센터,경기 고양시 일산동구 일산로 323번지,1588-8110,031-920-1918,보건복지부
141,공공,특수법인,종합병원,경기,고양시,국민건강보험일산병원,경기 고양시 일산동구 일산로 100,031-900-0114,031-900-0049,보건복지부
142,공공,특수법인,종합병원,경기,수원시,경기도의료원수원병원,경기 수원시 장안구 수성로 245번길 69,031-888-0114,031-244-0242,보건복지부(경기도)
143,공공,특수법인,종합병원,경기,안산시,근로복지공단안산병원,경기 안산시 상록구 구룡로 87(일동),031-500-1114,031-506-8001,고용노동부
144,공공,특수법인,종합병원,경기,안성시,경기도의료원안성병원,경기 안성시 고수2로 17번지(당왕동),031-8046-5000,031-8046-5555,보건복지부(경기도)
145,공공,특수법인,종합병원,경기,의정부시,경기도의료원의정부병원,경기 의정부시 흥선로 142 (의정부동),031-828-5000,031-828-5024,보건복지부(경기도)
146,공공,특수법인,종합병원,경기,파주시,경기도의료원파주병원,경기 파주시 금촌동 중앙로 207 ,031-940-9100,031-944-7729,보건복지부(경기도)
147,공공,특수법인,종합병원,경기,포천시,경기도의료원포천병원,경기 포천시 포천로 1648(신읍동 243-4),031-539-9114,031-532-0137,보건복지부(경기도)
148,공공,특수법인,종합병원,강원,강릉시,강원도강릉의료원,강원 강릉시 경강로 2007(남문동 164-1),033-646-6910,033-610-1415,보건복지부(강원도)
149,공공,특수법인,종합병원,강원,삼척시,강원도삼척의료원,강원 삼척시 오십천로 418,033-572-1141,033-573-8424,보건복지부(강원도)
150,공공,특수법인,종합병원,강원,속초시,강원도속초의료원,강원 속초시 영랑호반길 3,033-630-6000,033-630-6004,보건복지부(강원도)
151,공공,특수법인,종합병원,강원,영월군,강원도영월의료원,강원 영월군 영월읍 중앙1로 59,033-370-9117,033-370-9137,보건복지부(강원도)
152,공공,특수법인,종합병원,강원,원주시,강원도원주의료원,강원 원주시 서원대로 387(개운동),033-760-4500,033-761-5121,보건복지부(강원도)
153,공공,특수법인,종합병원,강원,춘천시,강원대학교병원,강원 춘천시 백령로 156,033-258-2000,033-251-0374,교육부
154,공공,특수법인,종합병원,강원,태백시,근로복지공단태백병원,강원 태백시 보드미길8(장성동),033-580-3114,033-581-8547,고용노동부
155,공공,특수법인,종합병원,충북,청주시,충청북도청주의료원,충북 청주시 흥덕구 흥덕로 48 (사직동 554-6),043-279-0114,043-279-2700,보건복지부(충청북도)
156,공공,특수법인,종합병원,충북,충주시,충청북도충주의료원,충북 충주시 안림로 239-50(안림동 134),043-871-0114,043-843-4231,보건복지부(충청북도)
157,공공,특수법인,종합병원,충남,공주시,충청남도공주의료원,충남 공주시 웅진로 130번지,041-855-4111,041-850-5275,보건복지부(충청남도)
158,공공,특수법인,종합병원,충남,서산시,충청남도서산의료원,충남 서산시 중앙로 149번지(석림동 568-5),041-689-7000,041-665-8010,보건복지부(충청남도)
159,공공,특수법인,종합병원,충남,천안시,충청남도천안의료원,충남 천안시 동남구 삼룡동 산41-13,041-570-7200,041-570-7013,보건복지부(충청남도)
160,공공,특수법인,종합병원,충남,홍성군,충청남도홍성의료원,충남 홍성군 홍성읍 조양로 224,041-630-6114,041-633-6119,보건복지부(충청남도)
161,공공,특수법인,종합병원,전북,군산시,전라북도군산의료원,전북 군산시 의료원로 27 ,063-472-5000,063-472-5400,보건복지부(전라북도)
162,공공,특수법인,종합병원,전북,남원시,전라북도남원의료원,전북 남원시 충정로 365번지,063-620-1114,063-620-1196,보건복지부(전라북도)
163,공공,특수법인,종합병원,전남,목포시,전라남도목포시의료원,전남 목포시 용해동 133-1번지,061-260-6500,061-279-3242,보건복지부(전라남도 목포시)
164,공공,특수법인,종합병원,전남,순천시,근로복지공단순천병원,전남 순천시 조례 1길 24(조례동),061-720-7114,061-721-2713,고용노동부
165,공공,특수법인,종합병원,경북,김천시,경상북도김천의료원,경북 김천시 모암길 24(모암동 85번지),054-432-8901~4,054-433-8254,보건복지부(경상북도)
166,공공,특수법인,종합병원,경북,상주시,상주적십자병원,경북 상주시 상서문로 53,054-534-3501,054-530-3000,보건복지부
167,공공,특수법인,종합병원,경북,안동시,경상북도안동의료원,경북 안동시 태사2길 55,054-850-6000,054-858-8950,보건복지부(경상북도)
168,공공,특수법인,종합병원,경북,포항시,경상북도포항의료원,경북 포항시 북구 용흥로 36,054-247-0551,054-247-0559,보건복지부(경상북도)
169,공공,특수법인,종합병원,경남,창원시,경상남도마산의료원,경남 창원시 마산합포구 315대로 231번지,055-249-1000,055-249-1008,보건복지부(경상남도)
170,공공,특수법인,종합병원,경남,창원시,근로복지공단창원병원,경남 창원시 성산구 창원대로 721(중앙동),055-280-7777,055-282-5681,고용노동부
171,공공,특수법인,종합병원,제주,서귀포시,서귀포의료원,제주특별자치도 서귀포시 장수로47 (동홍동),064-730-3101,064-762-0009,보건복지부(제주특별자치도)
172,공공,특수법인,병원,서울,강남구,서울의료원강남분원,서울 강남구 삼성동 171-1,02-3430-0643,02-2276-7000,보건복지부(서울특별시)
173,공공,특수법인,병원,대구,북구,근로복지공단대구병원,대구 중구 동덕로 130(삼덕로 2가),053-200-5114,053-715-7722,고용노동부
174,공공,특수법인,병원,인천,옹진군,인천광역시의료원백령병원,인천 옹진군 백령면 백령로 233,032-836-1731,032-836-0118,보건복지부(인천광역시)
175,공공,특수법인,병원,광주,남구,빛고을전남대학교병원,광주 남구 덕남길 80,062-670-9413,062-670-9419,교육부
176,공공,특수법인,병원,경기,이천시,경기도의료원이천병원,경기 이천시 경충대로 2742,031-639-4800,031-636-7500,보건복지부(경기도)
177,공공,특수법인,병원,강원,동해시,근로복지공단동해병원,강원 동해시 하평로 11(평릉동),033-530-3100,033-532-3136,고용노동부
178,공공,특수법인,병원,강원,정선군,근로복지공단정선병원,강원 정선군 정선읍 봉양1길 145(봉양4리),033-560-7100,033-562-8110,고용노동부
179,공공,특수법인,병원,전남,강진군,전라남도강진의료원,전남 강진군 강진읍 탐진로 5번지,061-433-2167,061-434-4736,보건복지부(전라남도)
180,공공,특수법인,병원,전남,순천시,전라남도순천의료원,전남 순천시 서문성터길 2,061-759-9114,061-752-7683,보건복지부(전라남도)
181,공공,특수법인,병원,경북,울진군,경상북도울진군의료원,경북 울진군 울진읍 현내항길 71,054-785-7000,054-785-7020,보건복지부(경상북도 울진군)
182,공공,특수법인,병원,경남,거창군,거창적십자병원,경남 거창군 거창읍 상림리 74-1,055-944-3251,055-943-2373,보건복지부
183,공공,특수법인,병원,경남,통영시,통영적십자병원,경남 통영시 중앙로 97,055-644-8901,055-644-8908,보건복지부
184,공공,특수법인,병원,제주,제주시,제주의료원,제주특별자치도 제주시 산천단 남길10 (아라일동),064-720-2222,064-724-2103,보건복지부(제주특별자치도)
185,공공,특수법인,치과병원,서울,종로구,서울대학교치과병원,서울 종로구 대학로 101,02-2072-3114,02-745-7798,교육부
186,공공,특수법인,치과병원,광주,북구,전남대학교치과병원,광주 북구 용봉로 33,062-530-5513,062-530-5590,교육부
187,공공,특수법인,치과병원,강원,강릉시,강릉원주대학교치과병원,강원 강릉시 죽헌로 7,033-640-3114,033-640-3113,교육부
188,공공,특수법인,치과병원,경남,양산시,부산대학교치과병원,경남 양산시 물금읍 금오로 20,055-360-5114,051-240-5029,교육부
189,공공,특수법인,한방병원,경남,양산시,부산대학교한방병원,경남 양산시 물금읍 금오로 20,055-360-5555,055-360-5559,교육부
190,공공,특수법인,요양병원,인천,연수구,경인의료재활센터병원,인천 연수구 원인재로 263,032-899-4000,032-899-4480,"보건복지부, 인천광역시"
