"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3000000","3000000-102-1974-08229","19740430","","03","폐업","02","폐업","20031231","","","","02 7334011","","110170","서울특별시 종로구 견지동 87-1번지 ","","","제이엔제이","20021010000000","I","2018-08-31 23:59:59.0","룸살롱","198503.329082237    ","452297.556997868    ","룸살롱","2","4","유흥업소밀집지역","관리","상수도전용","","","","","","","","","N","95.72","","",""
"3240000","3240000-102-2013-00001","20130612","","01","영업/정상","01","영업","","","","","","83.70","134814","서울특별시 강동구 길동 458-3번지 1층","서울특별시 강동구 진황도로 110 (길동)","05355","굿타임","20200603142831","U","2019-12-06 00:05:00.0","룸살롱","212131.75626657","448108.629965194","","","","","","","","","","","","","","","","","","",""
"3080000","3080000-102-2001-08566","20010507","","03","폐업","02","폐업","20200603","","","","02 9033211","90.36","142878","서울특별시 강북구 수유동 191-30번지 (지하1층)","서울특별시 강북구 도봉로 355-6 (수유동(지하1층))","01074","황궁","20200603144030","U","2019-12-06 00:05:00.0","카바레","202278.465216776","459687.027128238","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-2021-00001","20210208","","01","영업/정상","01","영업","","","","","","64.41","157910","서울특별시 강서구 화곡동 935-1 (지하 1층)","서울특별시 강서구 곰달래로16길 32 지하 1층 (화곡동)","07775","두바이노래바","20210208134520","I","2020-12-01 23:00:00.0","룸살롱","185803.611845769","447396.45923655","","","","","","","","","","","","","","","","","","",""
"3000000","3000000-102-1992-08286","19921228","","03","폐업","02","폐업","20040610","","","","0202654121","","110430","서울특별시 종로구 장사동 227-1번지 ","","","팽고팽고","20020116000000","I","2018-08-31 23:59:59.0","비어(바)살롱","199302.818541341    ","451834.817165156    ","비어(바)살롱","0","0","유흥업소밀집지역","기타","상수도(음용)지하수(주방용)겸용","","","","","","","","","N","161.62","","",""
"3000000","3000000-102-1992-08304","19921123","","03","폐업","02","폐업","20050601","","","","0222876040","","110846","서울특별시 종로구 평창동 108-2번지 ","","","윈저","20050428000000","I","2018-08-31 23:59:59.0","룸살롱","197949.002174181    ","456478.436790904    ","룸살롱","0","0","","","","","","","","","","","","N","412.92","","",""
"3000000","3000000-102-1991-08337","19911019","","03","폐업","02","폐업","19950105","","","","0207377356","","110360","서울특별시 종로구 와룡동 40-2번지 ","","","청풍","20011120000000","I","2018-08-31 23:59:59.0","요정","","","요정","0","0","기타","기타","상수도전용","","","","","","","","","N","90","","",""
"3000000","3000000-102-1991-08249","19910305","","03","폐업","02","폐업","20090130","","","","02 7321544","","110130","서울특별시 종로구 청진동 296-1번지 ","","","로만티카","20051226000000","I","2018-08-31 23:59:59.0","스텐드바","","","스텐드바","0","0","기타","기타","상수도전용","","","","","","","","","N","77.94","","",""
"3000000","3000000-102-1990-08274","19901211","","03","폐업","02","폐업","20081031","","","","02 7635439","","110320","서울특별시 종로구 낙원동 197-1번지 지하1층 ","","","유토피아","20111017180216","I","2018-08-31 23:59:59.0","룸살롱","199016.856847945    ","452053.890779469    ","룸살롱","","","유흥업소밀집지역","","","","","","","","","","","N","97.6","","",""
"3000000","3000000-102-1990-08289","19901031","","03","폐업","02","폐업","20030917","","","","02 3570520","","110846","서울특별시 종로구 평창동 73-2번지 ","","","킴스클럽","20010929000000","I","2018-08-31 23:59:59.0","비어(바)살롱","","","비어(바)살롱","2","2","기타","기타","상수도전용","","","","","","","","","N","125","","",""
"3000000","3000000-102-1990-08272","19900412","","03","폐업","02","폐업","20101130","","","","02 7205235","","110071","서울특별시 종로구 당주동 100-0번지 지1층35호 ","","","발렌타인","20080213175221","I","2018-08-31 23:59:59.0","스텐드바","197573.030749573    ","452175.335781858    ","스텐드바","2","3","기타","기타","상수도전용","","","","","","","","","N","81.4","","",""
"3000000","3000000-102-1986-08251","19860502","","03","폐업","02","폐업","19950224","","","","02 2678871","","110420","서울특별시 종로구 관수동 154-1번지 ","","","동원","20020116000000","I","2018-08-31 23:59:59.0","스텐드바","198991.002784609    ","451828.222399025    ","스텐드바","4","7","기타","갑","상수도전용","","","","","","","","","N","184.45","","",""
"3000000","3000000-102-1986-08242","19860129","","03","폐업","02","폐업","20040817","","","","02 7365007","","110071","서울특별시 종로구 당주동 171-0번지 ","","","리포스","20030809000000","I","2018-08-31 23:59:59.0","스텐드바","197697.555520377    ","452045.21198934     ","스텐드바","2","3","기타","갑","상수도전용","","","","","","","","","N","86.87","","",""
"3000000","3000000-102-1975-08333","19751220","","03","폐업","02","폐업","19941115","","","","0207654508","","110340","서울특별시 종로구 익선동 137-6번지 ","","","장강","20011120000000","I","2018-08-31 23:59:59.0","요정","198984.502772193    ","452406.324921936    ","요정","0","0","기타","갑","상수도전용","","","","","","","","","N","120.56","","",""
"3000000","3000000-102-1975-08311","19751216","","03","폐업","02","폐업","19960621","","","","02 2738141","","110834","서울특별시 종로구 예지동 179-2번지 ","","","가락","20020116000000","I","2018-08-31 23:59:59.0","룸살롱","199694.614511972    ","451869.178847305    ","룸살롱","0","0","기타","갑","상수도전용","","","","","","","","","N","333.06","","",""
"3000000","3000000-102-1975-08288","19751216","","03","폐업","02","폐업","20090410","","","","02 7420743","","110808","서울특별시 종로구 돈의동 144번지 ","","","진샤인","20020117000000","I","2018-08-31 23:59:59.0","카바레","","","카바레","7","7","기타","갑","상수도전용","","","","","","","","","N","517.68","","",""
"3000000","3000000-102-1975-08236","19751002","","03","폐업","02","폐업","19941115","","","","0203123809","","110846","서울특별시 종로구 평창동 113-1번지 ","","","북악파크호텔나이트크","20010929000000","I","2018-08-31 23:59:59.0","관광호텔나이트(디스코)","197908.031003022    ","456529.708624294    ","관광호텔나이트(디스코)","5","10","기타","갑","상수도전용","","","","","","","","","N","461.9","","",""
"3000000","3000000-102-1975-08327","19751001","","03","폐업","02","폐업","19970226","","","","02 7375953","","110101","서울특별시 종로구 송월동 32-43번지 ","","","고려원","20010929000000","I","2018-08-31 23:59:59.0","요정","196885.652363538    ","451969.551276376    ","요정","3","7","기타","갑","상수도전용","","","","","","","","","N","616.56","","",""
"3000000","3000000-102-1975-08283","19750626","","03","폐업","02","폐업","19930630","","","","0207331800","","110111","서울특별시 종로구 관철동 12-16번지 ","","","반줄","20011120000000","I","2018-08-31 23:59:59.0","비어(바)살롱","198710.153417715    ","451865.017554518    ","비어(바)살롱","1","1","기타","갑","상수도전용","","","","","","","","","N","67.32","","",""
"3000000","3000000-102-1975-08235","19750528","","03","폐업","02","폐업","20050804","","","","02 7443600","","110842","서울특별시 종로구 창신동 444-14번지 ","","","이스턴관광호텔영상가라오께","20030415000000","I","2018-08-31 23:59:59.0","룸살롱","200846.171043058    ","452069.005122414    ","룸살롱","3","3","기타","갑","상수도전용","","","","","","","","","N","436.66","","",""
"3000000","3000000-102-1975-08300","19750302","","03","폐업","02","폐업","19930624","","","","0202661960","","110430","서울특별시 종로구 장사동 182-9번지 ","","","백악관","20020116000000","I","2018-08-31 23:59:59.0","룸살롱","199470.131567151    ","451877.979183168    ","룸살롱","5","7","기타","갑","상수도전용","","","","","","","","","N","4.5","","",""
"3000000","3000000-102-1975-08234","19750122","","03","폐업","02","폐업","20060816","","","","02 7648812","","110842","서울특별시 종로구 창신동 436-65번지 지하동 ","","","뉴서울","20060113000000","I","2018-08-31 23:59:59.0","카바레","201111.206966089    ","451979.506583808    ","카바레","3","3","기타","갑","상수도전용","","","","","","","","","N","448.2","","",""
"3000000","3000000-102-2005-00008","20050926","","03","폐업","02","폐업","20090130","","","","02 7321545","","110130","서울특별시 종로구 청진동 297번지 지상1층 ","","","낭만","20050926000000","I","2018-08-31 23:59:59.0","룸살롱","","","룸살롱","0","0","","","상수도전용","","","","","","","","","N","44.54","","",""
"3000000","3000000-102-1975-08226","19750104","","03","폐업","02","폐업","19901105","","","","0202746557","","110111","서울특별시 종로구 관철동 22-0번지 ","","","가야","20011120000000","I","2018-08-31 23:59:59.0","고고(디스코)클럽","198908.284831214    ","451897.998907337    ","고고(디스코)클럽","3","3","기타","갑","상수도전용","","","","","","","","","N","198.9","","",""
"3000000","3000000-102-1999-10538","19990629","","03","폐업","02","폐업","20041221","","","","02 7358920","","110071","서울특별시 종로구 당주동 2-3번지 ","","","필","19990629000000","I","2018-08-31 23:59:59.0","룸살롱","197664.940558555    ","452234.488158655    ","룸살롱","0","0","유흥업소밀집지역","기타","상수도전용","","","","","","","","","N","43.56","","",""
"3000000","3000000-102-1999-10141","19990622","","03","폐업","02","폐업","20040212","","","","02 7337883","","110121","서울특별시 종로구 종로1가 24-0번지 ","","","보물섬","20020807000000","I","2018-08-31 23:59:59.0","룸살롱","198150.300374121    ","452019.212642931    ","룸살롱","0","0","유흥업소밀집지역","기타","상수도전용","","","","","","","","","N","87.64","","",""
"3000000","3000000-102-1999-10228","19990517","","03","폐업","02","폐업","20180605","","","","0222536700","","110825","서울특별시 종로구 숭인동 201-25번지 ","서울특별시 종로구 난계로29길 43 (숭인동)","03115","용가리 노래타운","20180605161520","I","2018-08-31 23:59:59.0","룸살롱","201778.696535379    ","452392.642161476    ","룸살롱","","","","","","","","","","","","","","N","97.13","","",""
"3000000","3000000-102-1999-10334","19990408","","03","폐업","02","폐업","20070130","","","","02 7433544","","110360","서울특별시 종로구 와룡동 122-0번지 ","","","카지노","20030326000000","I","2018-08-31 23:59:59.0","룸살롱","199083.437534141    ","452755.457393985    ","룸살롱","0","0","유흥업소밀집지역","기타","상수도전용","","","","","","","","","N","136.1","","",""
"3000000","3000000-102-1994-08271","19940729","","03","폐업","02","폐업","20020917","","","","02 7624669","","110126","서울특별시 종로구 종로6가 242-1번지 ","","","귀빈","20020917000000","I","2018-08-31 23:59:59.0","카바레","200480.177581939    ","452225.923030749    ","카바레","4","4","기타","갑","상수도전용","","","","","","","","","N","212.51","","",""
"3000000","3000000-102-1974-08296","19741223","","03","폐업","02","폐업","20011212","","","","0222710834","","110420","서울특별시 종로구 관수동 130-1번지 ","","","뉴서울테크","20010929000000","I","2018-08-31 23:59:59.0","룸살롱","199042.72412071     ","451834.553171381    ","룸살롱","3","3","유흥업소밀집지역","갑","상수도전용","","","","","","","","","N","130","","",""
"3000000","3000000-102-1974-08297","19741212","","03","폐업","02","폐업","19930630","","","","0207331800","","110111","서울특별시 종로구 관철동 12-16번지 ","","","반쥴","20011120000000","I","2018-08-31 23:59:59.0","룸살롱","198710.153417715    ","451865.017554518    ","룸살롱","5","7","기타","갑","상수도전용","","","","","","","","","N","173.1","","",""
"3000000","3000000-102-1974-08278","19741114","","03","폐업","02","폐업","20040420","","","","02 3957100","","110846","서울특별시 종로구 평창동 113-1번지 ","","","비지니스","20030310000000","I","2018-08-31 23:59:59.0","스텐드바","197908.031003022    ","456529.708624294    ","스텐드바","4","4","기타","갑","상수도전용","","","","","","","","","N","166.84","","",""
"3000000","3000000-102-1974-08338","19741023","","03","폐업","02","폐업","20031031","","","","0207349441","","110130","서울특별시 종로구 청진동 175-0번지 ","","","진당","20021111000000","I","2018-08-31 23:59:59.0","요정","","","요정","0","0","기타","갑","상수도전용","","","","","","","","","N","241.8","","",""
"3000000","3000000-102-1974-08313","19740625","","03","폐업","02","폐업","20120321","","","","0202529857","","110825","서울특별시 종로구 숭인동 200-25번지 (지상2층) ","","","해성노래크럽","20070612000000","I","2018-08-31 23:59:59.0","룸살롱","201702.974433451    ","452416.909169599    ","룸살롱","0","0","","","","","","","","","","","","N","76.24","","",""
"3000000","3000000-102-1974-08323","19740607","","03","폐업","02","폐업","20000529","","","","02 7651117","","110350","서울특별시 종로구 운니동 37-2번지 ","","","서림","20010929000000","I","2018-08-31 23:59:59.0","요정","199011.636567934    ","452680.721848361    ","요정","2","10","기타","갑","상수도전용","","","","","","","","","N","350.08","","",""
"3000000","3000000-102-1974-08231","19740530","","03","폐업","02","폐업","20050728","","","","02 7342204","","110122","서울특별시 종로구 종로2가 8-4번지 ","","","다이아나","20050510000000","I","2018-08-31 23:59:59.0","룸살롱","198572.839145325    ","452022.373156033    ","룸살롱","1","0","기타","기타","상수도전용","","","","","","","","","N","194.97","","",""
"3000000","3000000-102-1999-11779","19991218","","03","폐업","02","폐업","20040302","","","","0222669850","","110836","서울특별시 종로구 종로5가 478-0번지 ","","","부일집","20030923000000","I","2018-08-31 23:59:59.0","룸살롱","200407.86181797     ","451970.80928024     ","룸살롱","0","5","기타","갑","상수도전용","","","","","","","","","N","58.78","","",""
"3000000","3000000-102-1999-10964","19991218","","03","폐업","02","폐업","20130925","","","","02 7382122","","110090","서울특별시 종로구 교북동 90-1번지 지하1층 ","서울특별시 종로구 통일로 184 (교북동지하1층)","","실크로드","20120618105130","I","2018-08-31 23:59:59.0","룸살롱","196636.270703476    ","451995.850942199    ","룸살롱","","","","","","","","","","","","","","N","133.26","","",""
"3000000","3000000-102-1984-08276","19841006","","03","폐업","02","폐업","19980817","","","","0207651368","","110807","서울특별시 종로구 돈의동 45-1번지 ","","","난초","20020116000000","I","2018-08-31 23:59:59.0","스텐드바","199093.10515902     ","452268.928324832    ","스텐드바","2","2","기타","갑","상수도전용","","","","","","","","","N","107.52","","",""
"3000000","3000000-102-1984-08265","19840908","","03","폐업","02","폐업","20011128","","","","02 7445353","","110320","서울특별시 종로구 낙원동 148-0번지 ","","","뉴월드","20011120000000","I","2018-08-31 23:59:59.0","스텐드바","199002.707105102    ","452158.870410214    ","스텐드바","2","3","기타","갑","상수도전용","","","","","","","","","N","114.34","","",""
"3000000","3000000-102-1984-08255","19840811","","03","폐업","02","폐업","19961007","","","","02 9211464","","110827","서울특별시 종로구 숭인동 1252-0번지 ","","","나폴리","20010929000000","I","2018-08-31 23:59:59.0","스텐드바","201915.038          ","452657.129666667    ","스텐드바","2","3","기타","갑","상수도전용","","","","","","","","","N","336.44","","",""
"3000000","3000000-102-1984-08318","19840802","","03","폐업","02","폐업","20020325","","","","02 7634776","","110320","서울특별시 종로구 낙원동 169-1번지 ","","","천궁","20000802000000","I","2018-08-31 23:59:59.0","룸살롱","199014.938231714    ","452114.833434241    ","룸살롱","2","3","기타","갑","상수도전용","","","","","","","","","N","129.79","","",""
"3000000","3000000-102-1984-08344","19840623","","03","폐업","02","폐업","20190318","","","","","69.60","110170","서울특별시 종로구 견지동 92-1번지 지하1층 ","서울특별시 종로구 인사동9길 31 지하1층 (견지동)","03149","레드카펫","20190318165706","U","2019-03-20 02:40:00.0","요정","198477.624934689    ","452292.21568397     ","요정","","","","","","","","","","","","","","N","69.6","","",""
"3000000","3000000-102-1984-08314","19840605","","03","폐업","02","폐업","20041103","","","","0207359307","","110111","서울특별시 종로구 관철동 13-3번지 ","","","오디션","20010929000000","I","2018-08-31 23:59:59.0","룸살롱","198764.063085153    ","451885.639756666    ","룸살롱","3","5","기타","갑","상수도전용","","","","","","","","","N","73.17","","",""
"3000000","3000000-102-1984-08309","19840530","","03","폐업","02","폐업","20070425","","","","02 7650373","","110320","서울특별시 종로구 낙원동 149-0번지 ","","","리츠","20021228000000","I","2018-08-31 23:59:59.0","룸살롱","199014.84569455     ","452164.086753483    ","룸살롱","0","0","기타","갑","상수도전용","","","","","","","","","N","99.39","","",""
"3000000","3000000-102-1984-08268","19840529","","03","폐업","02","폐업","19960907","","","","02 7645253","","110126","서울특별시 종로구 종로6가 155-1번지 ","","","세화","20011120000000","I","2018-08-31 23:59:59.0","스텐드바","200540.902878979    ","452210.315158647    ","스텐드바","2","2","기타","갑","상수도전용","","","","","","","","","N","145.14","","",""
"3000000","3000000-102-1984-11440","19840522","","03","폐업","02","폐업","20080530","","","","02 7454798","","110126","서울특별시 종로구 종로6가 185-3번지 ","","","행운","20030212000000","I","2018-08-31 23:59:59.0","요정","200542.42984945     ","452249.855937936    ","요정","0","0","","","","","","","","","","","","N","35.25","","",""
"3000000","3000000-102-1984-08245","19840327","","03","폐업","02","폐업","20151118","","","","0222797920","","110123","서울특별시 종로구 종로3가 157번지 지하1층 ","서울특별시 종로구 종로 144-3 (종로3가지하1층)","03193","호박노래주점","20151109110458","I","2018-08-31 23:59:59.0","룸살롱","199377.669055349    ","451982.41963839     ","룸살롱","2","3","기타","갑","상수도전용","","","","","","","","","N","103.34","","",""
"3000000","3000000-102-1999-10265","19991014","","03","폐업","02","폐업","19991213","","","","02 7644312","","110842","서울특별시 종로구 창신동 436-79번지 ","","","워커힐","20000131000000","I","2018-08-31 23:59:59.0","룸살롱","200870.466483008    ","451975.759124436    ","룸살롱","0","0","기타","기타","상수도전용","","","","","","","","","N","136.37","","",""
"3000000","3000000-102-1983-08264","19830603","","03","폐업","02","폐업","20081031","","","","02 7422633","","110320","서울특별시 종로구 낙원동 138-1번지 ","","","일번지","20110104165813","I","2018-08-31 23:59:59.0","룸살롱","198962.57531706     ","452215.205219118    ","룸살롱","2","2","기타","갑","상수도전용","","","","","","","","","N","123.84","","",""
