연도,학교급,학교세부유형,고등학교유형,시도,행정구,교육지원청,학교명,본분교,학교상태,설립,남녀공학,우편번호,도로명주소,연락처,팩스번호,홈페이지
2020,유치원,유치원,,서울,중구,중부,수암유치원,본교,기존(원)교,사립,,045-95 ,서울특별시 중구 다산로 32 . 수암유치원 (신당동. 남산타운),02-2256-6100,02-2256-6103,http://수암유치원.kr
2020,유치원,유치원,,서울,중구,중부,숭의여자대학교부설유치원,본교,기존(원)교,사립,,046-28 ,서울특별시 중구 소파로2길 10 (예장동. 숭의여자대학교),02-3708-9078,02-3708-9080,http://kindergarten.sewc.ac.kr
2020,유치원,유치원,,서울,중구,중부,신일유치원,본교,기존(원)교,사립,,045-90 ,서울특별시 중구 동호로10길 27 (신당동. 신일교회),02-2234-4006,02-2234-4303,http://shinilyu.co.kr
2020,유치원,유치원,,서울,중구,중부,약수유치원,본교,기존(원)교,사립,,045-93 ,서울특별시 중구 동호로10길 30 (신당동. 약수하이츠),02-2232-1934,02-2232-1936,http://yaksui.com
2020,유치원,유치원,,서울,중구,중부,영락유치원,본교,기존(원)교,사립,,045-52 ,서울특별시 중구 수표로 33 (저동1가. 영락교회),02-2277-5878,02-2277-5879,http://cafe.naver.com/ynchild
2020,유치원,유치원,,서울,중구,중부,일신유치원,본교,기존(원)교,사립,,046-35 ,서울특별시 중구 퇴계로6길 36 . 교육관 (남창동. 일신교회),02-777-3993,02-777-4008,http://cafe.daum.net/ilshinkindergarten
2020,유치원,유치원,,서울,중구,중부,한일유치원,본교,기존(원)교,사립,,045-83 ,서울특별시 중구 퇴계로88다길 5 (신당동. 한일교회 선교사회관) 3층,02-2235-0016,02-2235-0377,http://hanilkid.kr
2020,유치원,유치원,,서울,용산구,중부,강변유치원,본교,기존(원)교,사립,,044-26 ,서울특별시 용산구 이촌로84길 9-7 . 강변교회 2층 (이촌동),02-792-2652,02-790-5170,
2020,유치원,유치원,,서울,용산구,중부,계성유치원,본교,기존(원)교,사립,,043-57 ,서울특별시 용산구 효창원로15길 15 (산천동),02-712-0826,02-6918-6695,http://www.gskg.kr
2020,유치원,유치원,,서울,용산구,중부,대건유치원,본교,기존(원)교,사립,,044-23 ,서울특별시 용산구 이촌로81길 38 (이촌동),02-790-5016,02-3785-2757,http://www.daegeon.kg.kr
2020,유치원,유치원,,서울,용산구,중부,도원유치원,본교,기존(원)교,사립,,043-56 ,서울특별시 용산구 새창로12길 11-8 (도원동),02-713-1960,02-704-0262,http://
2020,유치원,유치원,,서울,용산구,중부,복자유치원,본교,기존(원)교,사립,,043-27 ,서울특별시 용산구 후암로34길 21-8 (후암동),02-319-2915,02-319-3870,http://www.bokja.co.kr
2020,유치원,유치원,,서울,용산구,중부,서울남정초등학교병설유치원,본교,기존(원)교,공립,,043-68 ,서울특별시 용산구 원효로64길 17-10 . 서울남정초등학교병설유치원 (원효로2가),02-3273-6510,02-3273-6514,http://www.seoul-nj.es.kr/
2020,유치원,유치원,,서울,용산구,중부,서울서빙고초등학교병설유치원,본교,기존(원)교,공립,,043-84 ,서울특별시 용산구 서빙고로51길 14 (서빙고동),02-796-8867,02-797-7063,http://www.seobinggo.es.kr/
2020,유치원,유치원,,서울,용산구,중부,서울청파초등학교병설유치원,본교,기존(원)교,공립,,043-06 ,서울특별시 용산구 효창원로 228 (청파동2가). 서울청파초등학교병설유치원,02-701-3224,02-701-3226,http://s-cheongpa.es.kr
2020,유치원,유치원,,서울,용산구,중부,서울한남초등학교병설유치원,본교,기존(원)교,공립,,044-18 ,서울특별시 용산구 한남대로 112 (한남동.한남초등학교),02-749-2393,02-749-1294,http://www.hannam.es.kr
2020,유치원,유치원,,서울,용산구,중부,원유치원,본교,기존(원)교,사립,,044-23 ,서울특별시 용산구 이촌로81길 14 (이촌동),02-797-0038,02-792-0038,
2020,유치원,유치원,,서울,용산구,중부,일민유치원,본교,기존(원)교,사립,,043-58 ,서울특별시 용산구 효창원로 17 (산천동. 리버힐삼성아파트),02-704-0915,02-704-3231,http://www.ilminkids.com
2020,유치원,유치원,,서울,용산구,중부,충신유치원,본교,기존(원)교,사립,,044-22 ,서울특별시 용산구 이촌로71길 14 (이촌동),02-793-7618,02-796-4361,http://kids.choongshin.or.kr
2020,유치원,유치원,,서울,용산구,중부,한가람유치원,본교,기존(원)교,사립,,044-24 ,서울특별시 용산구 이촌로89길 50 한가람유치원 (이촌동. 한강교회),02-796-8865,02-790-8841,http://
2020,유치원,유치원,,서울,성동구,성동·광진,경동유치원,본교,기존(원)교,사립,,047-18 ,서울특별시 성동구 금호로 100 유치원동 (금호동1가 633번지),02-2298-2277,02-2298-2214,http://www.kdchild.com
2020,유치원,유치원,,서울,성동구,성동·광진,금호유치원,본교,기존(원)교,사립,,047-29 ,서울특별시 성동구 금호산2길 35 (금호동3가. 금호교회),02-2252-3179,02-2253-1497,http://www.keumhokids.co.kr
2020,유치원,유치원,,서울,성동구,성동·광진,로사유치원,본교,기존(원)교,사립,,047-74 ,서울특별시 성동구 성덕정길 23 (성수동1가),02-497-2547,02-497-2548,http:// cafe.daum.net/rosakdg
2020,유치원,유치원,,서울,성동구,성동·광진,무학유치원,본교,폐(원)교,사립,,047-10 ,서울특별시 성동구 무학봉15가길 4 (하왕십리동)무학유치원,02-2299-2402,02-2299-2403,http://www.moohak.co.kr
2020,유치원,유치원,,서울,성동구,성동·광진,미타유치원,본교,기존(원)교,사립,,047-39 ,서울특별시 성동구 독서당로40길 21 . 미타유치원 (옥수동),02-2297-7982,02-2297-7905,http://www.mitakids.net
2020,유치원,유치원,,서울,성동구,성동·광진,서울경동유치원,본교,기존(원)교,공립,,047-81 ,서울특별시 성동구 성수일로 34 (성수동1가.경동초등학교),02-461-0337,02-461-1676,http://www.skd.kg.kr
2020,유치원,유치원,,서울,성동구,성동·광진,서울경수초등학교병설유치원,본교,기존(원)교,공립,,047-85 ,서울특별시 성동구 뚝섬로13길 22 . 경수초등학교 병설유치원 (성수동2가),02-465-9547,02-465-9548,http://www.kyeongsu.es.kr
2020,유치원,유치원,,서울,성동구,성동·광진,서울경일초등학교병설유치원,본교,기존(원)교,공립,,047-74 ,서울특별시 성동구 뚝섬로 332 . 서울경일초등학교병설유치원 (성수동1가. 경일초등학교),02-499-5273,02-499-5274,http://kyongil.es.kr
2020,유치원,유치원,,서울,성동구,성동·광진,서울금호초등학교병설유치원,본교,기존(원)교,공립,,047-26 ,서울특별시 성동구 무수막길 69 (금호동2가),02-6491-3205,02-6491-3216,http://geumho.sen.es.kr
2020,유치원,유치원,,서울,성동구,성동·광진,서울동명초등학교병설유치원,본교,기존(원)교,공립,,047-05 ,서울특별시 성동구 마장로29길 29 . 서울동명초등학교병설유치원 (마장동),02-2299-6119,02-2299-6121,http://dgmg.es.kr
2020,유치원,유치원,,서울,성동구,성동·광진,서울마장초등학교병설유치원,본교,기존(원)교,공립,,047-53 ,서울특별시 성동구 마장로35나길 31 (마장동),02-2282-2831,02-2292-1860,http://www.majang.es.kr
2020,유치원,유치원,,서울,성동구,성동·광진,서울사근초등학교병설유치원,본교,기존(원)교,공립,,047-61 ,서울특별시 성동구 사근동11길 16 . 서울사근초등학교병설유치원 (사근동),02-2296-9546,02-2296-9656,http:///www.sageun.es.kr/
2020,유치원,유치원,,서울,성동구,성동·광진,서울성수초등학교병설유치원,본교,기존(원)교,공립,,047-98 ,서울특별시 성동구 아차산로17길 21 . 서울성수초등학교 (성수동2가),02-463-1186,02-463-1187,http://www.seongsoo.es.kr
2020,유치원,유치원,,서울,성동구,성동·광진,서울송원초등학교병설유치원,본교,기존(원)교,공립,,048-00 ,서울특별시 성동구 동일로43길 9 .서울송원초등학교병설유치원(송정동),02-469-5012,02-469-5013,http://www.swkinder.com/
2020,유치원,유치원,,서울,성동구,성동·광진,서울숭신초등학교병설유치원,본교,기존(원)교,공립,,047-02 ,서울특별시 성동구 마장로 161 . 서울숭신초등학교병설유치원 (하왕십리동. 서울숭신초등학교),02-2253-2901,02-2253-2905,http://soongshinkid.com
2020,유치원,유치원,,서울,성동구,성동·광진,서울옥수초등학교병설유치원,본교,기존(원)교,공립,,047-40 ,서울특별시 성동구 금호로1길 25 (금호동4가.옥수초등학교),02-2299-4115,02-2299-9421,http://oksu.es.kr
2020,유치원,유치원,,서울,성동구,성동·광진,서울옥정초등학교병설유치원,본교,기존(원)교,공립,,047-35 ,서울특별시 성동구 한림말길 43 . 서울옥정초등학교병설유치원 (옥수동),02-2294-6317,02-2298-1911,http://www.okjeong.kg.kr
2020,유치원,유치원,,서울,성동구,성동·광진,서울용답초등학교병설유치원,본교,기존(원)교,공립,,048-05 ,서울특별시 성동구 용답21길 1 . 서울용답초등학교병설유치원 (용답동),02-2245-8985,02-2245-8987,http://www.yd.es.kr
2020,유치원,유치원,,서울,성동구,성동·광진,성심유치원,본교,기존(원)교,사립,,047-08 ,서울특별시 성동구 무학로10길 21 . 성심유치원 (홍익동),02-2293-0621,02-2291-7509,http://cafe.naver.com/1966sungsim
2020,유치원,유치원,,서울,성동구,성동·광진,세성유치원,본교,기존(원)교,사립,,047-41 ,서울특별시 성동구 독서당로 434 (응봉동),02-2296-6107,02-2296-6108,
2020,유치원,유치원,,서울,성동구,성동·광진,세인유치원,본교,기존(원)교,사립,,047-57 ,서울특별시 성동구 마장로42길 26 세림아파트 단지내  (마장동),02-2295-3551,02-2292-4085,http://www.seinkid.co.kr
2020,유치원,유치원,,서울,성동구,성동·광진,솔유치원,본교,폐(원)교,사립,,047-03 ,서울특별시 성동구 무학로 50 (하왕십리동),02-2299-9111,02-2299-7707,
2020,유치원,유치원,,서울,성동구,성동·광진,송곡유치원,본교,기존(원)교,사립,,047-08 ,서울특별시 성동구 무학로6길 41 (홍익동),02-2295-2111,02-2299-2405,http://www.songkok.co.kr
2020,유치원,유치원,,서울,성동구,성동·광진,아이들세상유치원,본교,기존(원)교,사립,,047-38 ,서울특별시 성동구 독서당로 272 아이들세상유치원 (금호동4가. 금호동 대우 아파트),02-2299-8955,02-2299-8956,http://www.kids-world.or.kr
2020,유치원,유치원,,서울,성동구,성동·광진,에덴유치원,본교,기존(원)교,사립,,047-13 ,서울특별시 성동구 행당로 79 . 단지내  (행당동. 행당동 대림아파트),02-2292-2779,02-2282-0110,http://www.edenkid.com
2020,유치원,유치원,,서울,성동구,성동·광진,옥수삼성유치원,본교,기존(원)교,사립,,047-34 ,서울특별시 성동구 독서당로 218 . 옥수삼성유치원  (옥수동) 250번지,02-2293-5657,02-2293-5658,http://osnursery.ohmysite.net
2020,유치원,유치원,,서울,성동구,성동·광진,옥수예일유치원,본교,기존(원)교,사립,,047-32 ,서울특별시 성동구 독서당로 191 . 극동아파트 단지내 (옥수동. 옥수동극동아파트),02-2297-0432,02-2297-0435,http://cafe.naver.com/yale4846
2020,유치원,유치원,,서울,성동구,성동·광진,율화유치원,본교,기존(원)교,사립,,047-46 ,서울특별시 성동구 고산자로2길 35 (행당동),02-2296-2577,02-2296-2599,http://yulhwa.co.kr
2020,유치원,유치원,,서울,성동구,성동·광진,조은유치원,본교,기존(원)교,사립,,047-53 ,서울특별시 성동구 살곶이길 50 . 조은유치원 (마장동. 마장동 현대아파트),02-2282-2777,02-2282-2778,http://www.joeunkids.com
2020,유치원,유치원,,서울,성동구,성동·광진,한양여자대학교부속유치원,본교,기존(원)교,사립,,047-63 ,서울특별시 성동구 살곶이길 200 . 한양여대부속유치원 (사근동. 한양여자대학),02-2290-2101,02-2290-2109,http://www.hywoman.ac.kr/yoochiwon
2020,유치원,유치원,,서울,광진구,성동·광진,경원유치원,본교,기존(원)교,사립,,049-48 ,서울특별시 광진구 영화사로 89 (구의동),02-446-9777,02-3425-1233,
2020,유치원,유치원,,서울,광진구,성동·광진,광남유치원,본교,기존(원)교,사립,,049-74 ,서울특별시 광진구 아차산로70길 40 (광장동. 광남유치원),02-455-6774,02-455-7425,http://kwangnam.kidswon.com
2020,유치원,유치원,,서울,광진구,성동·광진,광장유치원,본교,기존(원)교,사립,,049-67 ,서울특별시 광진구 광장로7길 17 (광장동) 광장유치원,02-455-5016,02-455-5320,http://cafe.naver.com/kjkk4555016
2020,유치원,유치원,,서울,광진구,성동·광진,대원유치원,본교,기존(원)교,사립,,050-68 ,서울특별시 광진구 뚝섬로41길 20 (자양동. 우성아파트),02-458-0820,02-446-7677,http://대원유치원
2020,유치원,유치원,,서울,광진구,성동·광진,동심유치원,본교,기존(원)교,사립,,050-04 ,서울특별시 광진구 군자로12길 46 (군자동. 일성파크아파트),02-499-6101,02-499-6102,http://dongsim.kidis.co.kr
2020,유치원,유치원,,서울,광진구,성동·광진,미파유치원,본교,기존(원)교,사립,,049-03 ,서울특별시 광진구 용마산로 185 (중곡동),02-434-3625,02-434-5291,http://cafe.daum.net/mipa3625
2020,유치원,유치원,,서울,광진구,성동·광진,보성유치원,본교,기존(원)교,사립,,049-71 ,서울특별시 광진구 아차산로 552 (광장동.극동아파트),02-453-9712,02-453-9730,http://www.bosungkid.co.kr
2020,유치원,유치원,,서울,광진구,성동·광진,샬롬유치원,본교,기존(원)교,사립,,050-36 ,서울특별시 광진구 아차산로65길 65 (구의동),02-456-7770,02-456-7775,http://운영 안함
2020,유치원,유치원,,서울,광진구,성동·광진,서울구의초등학교병설유치원,본교,기존(원)교,공립,,050-22 ,서울특별시 광진구 광나루로30길 49 (화양동),02-453-2123,02-453-2126,http://www.guui.es.kr
2020,유치원,유치원,,서울,광진구,성동·광진,서울신자초등학교병설유치원,본교,기존(원)교,공립,,051-10 ,서울특별시 광진구 뚝섬로46길 64 (자양동),02-450-5690,02-450-5679,http://www.sinja.sen.es.kr
2020,유치원,유치원,,서울,광진구,성동·광진,서울양남초등학교병설유치원,본교,기존(원)교,공립,,051-14 ,서울특별시 광진구 뚝섬로64길 71 . 서울양남초등학교병설유치원 2층 (자양동),02-458-9361,02-452-8109,http://www.s-yangnam.es.kr
2020,유치원,유치원,,서울,광진구,성동·광진,서울양진초등학교병설유치원,본교,기존(원)교,공립,,049-82 ,서울특별시 광진구 워커힐로 32 . 양진초등학교병설유치원 (광장동. 양진초중학교),02-454-9138,02-454-9958,http://www.yjs.sen.es.kr
2020,유치원,유치원,,서울,광진구,성동·광진,서울자양초등학교병설유치원,본교,기존(원)교,공립,,050-54 ,서울특별시 광진구 아차산로44길 26 (자양동.서울자양초등학교),02-455-8051,02-455-7588,http://www.chayang.es.kr
2020,유치원,유치원,,서울,광진구,성동·광진,서울중광초등학교병설유치원,본교,기존(원)교,공립,,049-08 ,서울특별시 광진구 긴고랑로13길 59 (중곡동),02-466-9691,02-466-9693,http://www.jkschool.net/index.do
2020,유치원,유치원,,서울,광진구,성동·광진,선경유치원,본교,기존(원)교,사립,,051-14 ,서울특별시 광진구 뚝섬로66길 14 선경유치원 (자양동),02-447-0852,02-3436-9442,http://www.sk-kinder.net
2020,유치원,유치원,,서울,광진구,성동·광진,선미유치원,본교,기존(원)교,사립,,049-95 ,서울특별시 광진구 면목로5길 54 (군자동. 선미유치원),02-467-1148,02-466-1248,http://cafe.naver.com/gmloveu
2020,유치원,유치원,,서울,광진구,성동·광진,선양유치원,본교,기존(원)교,사립,,050-01 ,서울특별시 광진구 동일로 256 (군자동),02-466-6193,02-462-4455,http://1
2020,유치원,유치원,,서울,광진구,성동·광진,선화유치원,본교,기존(원)교,사립,,049-91 ,서울특별시 광진구 천호대로130길 58 (능동),02-2204-1051,02-2204-1059,http://www.sunhwakids.co.kr
2020,유치원,유치원,,서울,광진구,성동·광진,성산유치원,본교,기존(원)교,사립,,050-56 ,서울특별시 광진구 뚝섬로59길 18 (자양동),02-455-0581,02-454-0581,
2020,유치원,유치원,,서울,광진구,성동·광진,성수아름유치원,본교,폐(원)교,사립,,050-69 ,서울특별시 광진구 뚝섬로41길 33 . 476-15 (자양동)성수아름유치원,02-464-8397,02-497-8397,http://sungsu.happyihome.com
2020,유치원,유치원,,서울,광진구,성동·광진,슬기유치원,본교,기존(원)교,사립,,049-56 ,서울특별시 광진구 자양로 296 슬기유치원 (구의동),02-446-0581,02-444-1017,http://슬기유치원.com
2020,유치원,유치원,,서울,광진구,성동·광진,아이조아유치원,본교,기존(원)교,사립,,049-07 ,서울특별시 광진구 긴고랑로7길 65 (중곡동),02-498-9903,02-498-9901,http://i-joais.co.kr
2020,유치원,유치원,,서울,광진구,성동·광진,어린이회관유치원,본교,기존(원)교,사립,,049-91 ,서울특별시 광진구 광나루로 441 . 어린이회관 (능동),02-2204-6001,02-2204-6116,http://www.어린이회관유치원.com
2020,유치원,유치원,,서울,광진구,성동·광진,영화유치원,본교,기존(원)교,사립,,049-48 ,서울특별시 광진구 영화사로 105 (구의동.영화유치원),02-453-5149,02-447-6066,http://younghwau.com
2020,유치원,유치원,,서울,광진구,성동·광진,예일유치원,본교,폐(원)교,사립,,049-28 ,서울특별시 광진구 천호대로111길 41 (중곡동. 예일유치원),02-452-5544,02-452-5568,http://yeilkid.co.kr
2020,유치원,유치원,,서울,광진구,성동·광진,인애유치원,본교,기존(원)교,사립,,050-90 ,서울특별시 광진구 능동로4길 13 . 자양동 성당 부설 인애유치원 (자양동),02-457-6109,02-457-7152,http://www.inaepreschool.org/
2020,유치원,유치원,,서울,광진구,성동·광진,자양유치원,본교,기존(원)교,사립,,051-02 ,서울특별시 광진구 자양로5길 36 (자양동) 2층 자양유치원,02-446-4345,02-6455-4345,http://www.jayangkids.com/
2020,유치원,유치원,,서울,광진구,성동·광진,자양하나유치원,본교,기존(원)교,사립,,050-28 ,서울특별시 광진구 아차산로41길 22-5 (자양동),02-456-1799,02-454-8512,http://hanayoochiwon.com
2020,유치원,유치원,,서울,광진구,성동·광진,정신유치원,본교,기존(원)교,사립,,050-78 ,서울특별시 광진구 뚝섬로23길 27 (자양동),02-463-7050,02-463-7050,http://www.uriidle.com
2020,유치원,유치원,,서울,광진구,성동·광진,청구이화유치원,본교,기존(원)교,사립,,049-84 ,서울특별시 광진구 아차산로 503-23 . (광장동.청구아파트) (광장동),02-458-5981,02-458-5983,http://www.ewkids.kidis.co.kr
2020,유치원,유치원,,서울,광진구,성동·광진,프라임유치원,본교,기존(원)교,사립,,051-19 ,서울특별시 광진구 광나루로56길 5 (구의동.현대프라임아파트),02-453-0671,02-453-8120,http://www.primekid.co.kr
2020,유치원,유치원,,서울,광진구,성동·광진,한일유치원,본교,기존(원)교,사립,,050-70 ,서울특별시 광진구 뚝섬로35길 16-20 한일유치원(자양동. 자양우성3차아파트),02-454-0002,02-454-0002,http://hanil90.c0.kr
2020,유치원,유치원,,서울,광진구,성동·광진,현정유치원,본교,기존(원)교,사립,,050-32 ,서울특별시 광진구 광나루로 534-1 . 현정유치원 (구의동),02-446-9209,02-455-8709,http://hyunjung.yoochiwon.kr/
2020,유치원,유치원,,서울,동대문구,동부,경희유치원,본교,기존(원)교,사립,,024-47 ,서울특별시 동대문구 경희대로 26 (회기동),02-967-0907,02-3295-5421,http://www.khu.kg.kr
2020,유치원,유치원,,서울,동대문구,동부,규전유치원,본교,폐(원)교,사립,,024-32 ,서울특별시 동대문구 휘경로 42 (휘경동),02-961-7696,02-961-7696,http://cafe.daum.net/gujeon
2020,유치원,유치원,,서울,동대문구,동부,그림유치원,본교,기존(원)교,사립,,026-13 ,서울특별시 동대문구 답십리로56길 21 (답십리동. 두산아파트),02-3394-6254,02-2248-4661,http://cafe.naver.com/grimmkid
2020,유치원,유치원,,서울,동대문구,동부,동안유치원,본교,기존(원)교,사립,,024-52 ,서울특별시 동대문구 회기로25길 67 (이문동),02-957-1830,02-965-3925,http://dongkid.org/
2020,유치원,유치원,,서울,동대문구,동부,라온유치원,본교,신설(원)교,사립,,026-15 ,서울특별시 동대문구 답십리로48길 56 . 라온유치원 (답십리동),02-2217-0430,02-2217-0830,http://cafe.naver.com/raon0701
2020,유치원,유치원,,서울,동대문구,동부,백주유치원,본교,기존(원)교,사립,,025-43 ,서울특별시 동대문구 서울시립대로18길 19 (전농동),02-2249-5170,02-2245-2970,http://cafe.daum.net/baekjukids
2020,유치원,유치원,,서울,동대문구,동부,사군자유치원,본교,기존(원)교,사립,,026-35 ,서울특별시 동대문구 장한로5길 51 (장안동),02-2245-5801,02-2245-5872,http://sgj-5801@hanmail.net
2020,유치원,유치원,,서울,동대문구,동부,사랑유치원,본교,기존(원)교,사립,,024-63 ,서울특별시 동대문구 제기로 131 (청량리동),02-957-5330,02-963-5333,http://sarangkids.co.kr
2020,유치원,유치원,,서울,동대문구,동부,산정현유치원,본교,기존(원)교,사립,,024-53 ,서울특별시 동대문구 회기로23가길 33 (회기동),02-963-0371,02-963-0370,http://cafe.naver.com/grace0371
2020,유치원,유치원,,서울,동대문구,동부,삼성유치원,본교,기존(원)교,사립,,025-53 ,서울특별시 동대문구 사가정로 65 . 단지내 삼성유치원 (전농동. 래미안 크레시티),02-2213-0080,02-2212-3006,http://
2020,유치원,유치원,,서울,동대문구,동부,새소리유치원,본교,기존(원)교,사립,,025-32 ,서울특별시 동대문구 사가정로 148 . 새소리유치원 (전농동. 전농 SK아파트),02-2214-0011,02-2214-0013,http://해당없음
2020,유치원,유치원,,서울,동대문구,동부,새일문유치원,본교,기존(원)교,사립,,025-28 ,서울특별시 동대문구 장한로 165 (장안동),02-2212-6229,02-2212-6229,http://cafe.naver.com/saeilmoon
2020,유치원,유치원,,서울,동대문구,동부,서울군자초등학교병설유치원,본교,기존(원)교,공립,,026-32 ,서울특별시 동대문구 한천로6길 21 (장안동.서울군자초등학교),02-2212-8456,02-2212-8457,http://www.kunja.kg.kr
2020,유치원,유치원,,서울,동대문구,동부,서울답십리초등학교병설유치원,본교,기존(원)교,공립,,026-01 ,서울특별시 동대문구 전농로3길 23 (답십리동.답십리초등학교),02-2248-3152,02-2217-3152,http://www.dapsimni.kg.kr
2020,유치원,유치원,,서울,동대문구,동부,서울유치원,본교,기존(원)교,사립,,024-23 ,서울특별시 동대문구 한천로58길 47 . 유치원동 1호 (이문동. 쌍용아파트),02-959-9411,02-959-9413,http://없음
2020,유치원,유치원,,서울,동대문구,동부,서울이문유치원,본교,기존(원)교,공립,,024-11 ,서울특별시 동대문구 신이문로 16 . 서울이문유치원 (이문동),02-959-2023,02-969-3245,http://www.imunk.co.kr
